symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
MORPHOUSDT,MORPHO,Etabli,59,1.999,6062710.75688,13.258,53.587588775363066,-0.009888029928042663,1.9763,1.5860550000000009,0.8858303429818716,0.2645879732739421,0.10824053452115827,0.9829282830977542,0.6001374664218161,1.5616944444444445,2.165111111111111,,0,0,neutre,251,0,0,30,,,41.9,82.0,73.0,78.5,50,62.37,False,False,,0,🔥 Trending #8 sur CoinGecko,8,,66,1291381528,1998342421,646226349.7187859,1000000000.0,1000000000.0,64.6,6315257240,$6.3B,-8.42
INJUSDT,INJ,Etabli,100,5.115,11257136.23786,-11.229,45.70196930518732,-0.1669629756193569,4.792979999999999,4.209044999999996,1.2986916200239043,0.26938483547925607,0.26938483547925607,0.6910333076649141,0.41610340637433035,2.875944444444444,5.959944444444443,uptrend,1,0,haussier,365,0,0,30,,,45.0,82.0,62.5,78.5,50,62.07,False,False,,0,,,,65,510979740,510979740,100000000.0,100000000.0,,100.0,13125473,$13M,-3.97
NEARUSDT,NEAR,Etabli,36,2.066,73705930.1444,-4.793,48.90904238588495,-0.07366429044674244,1.8163199999999995,1.5150599999999996,1.597776753813329,0.3400780972665957,0.26730564430244946,1.0694160198025562,0.29005426849486365,1.225083333333333,2.4072777777777783,uptrend,1,0,haussier,365,0,0,30,,,45.0,91.0,46.0,78.5,50,61.15,False,False,,0,,,,65,2677028167,2677028174,1297820225.0,1297820228.0,,100.0,,,
IOUSDT,IO,Mid,393,0.1719,8788963.982892,5.655,55.992002216430414,-0.0018020315625745902,0.14622,0.14000800000000008,1.393868209632343,0.29012023000522735,0.10245687401986413,1.6074151142214348,0.3651519951319403,0.10127222222222222,0.17354166666666665,uptrend,1,0,haussier,365,0,0,30,,,31.0,100.0,62.5,78.5,50,59.58,False,False,,0,,,,70,59416459,137193870,346465684.407658,799996650.0546076,800000000.0,43.3,,,
WLDUSDT,WLD,Etabli,47,0.4949,97977358.00583,-3.396,61.32337928073824,0.008061310422743384,0.31234799999999996,0.40827400000000014,2.2323632373263194,0.4143107330497873,0.08767072720561081,1.271794868687099,0.24502519130555903,0.24217500000000008,0.43581388888888883,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,75.0,50.5,78.5,50,59.19,False,False,,0,,,,61,1669325695,4922779184,3391022900.122653,10000000000.0,10000000000.0,33.9,,,
XLMUSDT,XLM,Etabli,17,0.1856,90150173.7119,-6.215,47.93892562758801,-0.003806425977499365,0.17485800000000004,0.18820699999999996,1.5030324648463853,0.2851096575606003,0.2851096575606003,7.423348065747071,0.3392183136983169,0.14957777777777778,0.20947777777777776,macd_bearish_cross|hammer_4h,1,1,mixte,365,0,0,30,,,45.0,84.0,52.0,78.5,20.0,59.07,False,False,,3,⚡ Volume ×7.4 vs médiane,,7.42,65,6274775312,9297427129,33745892627.36614,50001786839.91258,,67.5,,,
TRXUSDT,TRX,Etabli,8,0.3225,29787553.33091,0.249,33.450699219734275,-0.0031441264726437797,0.34293,0.3066020000000001,0.3006923599262382,0.14723109691160813,0.14110756123535675,0.3218265338119276,0.2697512713222681,0.30583611111111114,0.35937222222222226,doji_4h,0,0,neutre,365,0,0,30,,,45.0,27.0,89.5,78.5,50,56.99,False,False,,0,,,,49,30581413413,30581415393,94825247541.33577,94825253681.13586,,100.0,,,
BNBUSDT,BNB,Etabli,4,584.45,74674263.04775,-2.509,38.08889654950761,-7.920393254042047,640.1816,720.9818,0.5929039372194855,0.20385674931129474,0.186966079528063,0.3968806316551328,0.7510439832084179,593.7552777777778,676.903611111111,,0,0,neutre,365,0,0,30,,,45.0,28.0,87.5,78.5,50,56.87,False,False,,0,,,,49,78731468834,78731468834,134783953.07,134783953.07,200000000.0,100.0,136753996408,$136.8B,-6.16
HBARUSDT,HBAR,Etabli,28,0.07838,6171391.53641,-2.379,34.93517245956603,-0.0011512174121733353,0.08933120000000003,0.10194384999999999,0.5692722375648972,0.21956326652707145,0.21956326652707145,0.2951660758880841,0.6928970762108215,0.08373805555555557,0.09674527777777778,,0,0,neutre,365,0,0,30,,,45.0,19.0,95.5,78.5,50,56.55,False,False,,0,,,,48,3395804588,3914605952,43373517401.15573,50000000000.0,50000000000.0,86.7,,,
ONDOUSDT,ONDO,Etabli,46,0.3445,12625426.00499,-5.383,45.89564203144129,-0.005861350833022819,0.351566,0.3368940000000001,1.185246949464742,0.28116006198804516,0.2384325880008856,0.3930103441662074,0.3658195633061178,0.25181388888888884,0.41719722222222216,,0,0,neutre,365,0,0,30,,,45.0,45.0,62.5,78.5,50,56.02,False,False,,0,🔥 Trending #10 sur CoinGecko,10,,54,1677750795,3445547072,4869330647.0,10000000000.0,10000000000.0,48.7,2639690219,$2.6B,-0.0
JSTUSDT,JST,Etabli,85,0.07941,4648816.579202,-4.187,41.3566918765826,-0.0014755281639793573,0.087044,0.05775180000000003,0.9487279065387364,0.2377463626044783,0.1805799195129502,0.5889518035852368,-0.023223077464824198,0.057597222222222216,0.0934077777777778,,0,0,neutre,365,0,0,30,,,45.0,45.0,79.0,68.0,50,55.85,False,False,,0,,,,53,677961012,677961012,8543764567.312736,8543764567.312736,9900000000.0,100.0,3035322551,$3.0B,-5.61
DEXEUSDT,DEXE,Etabli,73,18.751,4654050.92263,-17.192,56.909480400204174,-0.055659438916184856,14.65146,7.155504999999998,1.0994749019786507,0.3166955825437075,0.1312196250867855,0.38425742788638767,0.04104937268115959,6.352277777777776,18.69722222222222,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,73.0,56.5,68.0,20.0,55.36,False,False,,0,,,,54,876199508,1808690545,46750552.58384035,96504599.33609451,,48.4,,,
WLFIUSDT,WLFI,Etabli,44,0.0598,6802380.4529,7.361,48.18850680260065,0.00028878269739125023,0.063766,0.11085949999999994,0.7112449466947192,0.49065420560747663,0.4420560747663551,0.6522646982494767,0.23016131624498967,0.05709444444444445,0.10197500000000001,double_bottom_90d,1,0,haussier,283,0,0,30,,,42.8,46.0,62.5,78.5,50,55.32,False,False,,0,,,,54,1898260216,5974280910,31773869432.0,100000000000.0,100000000000.0,31.8,,,
ASTERUSDT,ASTER,Etabli,48,0.62,9163423.8402,0.0,39.31399197556297,-0.007838539065469047,0.6703200000000001,0.7166350000000005,0.6196814459970151,0.18386243386243387,0.18121693121693122,0.3809824963760433,0.5125949293146834,0.6371388888888889,0.7192222222222221,,0,0,neutre,248,0,0,30,,,41.8,28.0,85.0,78.5,50,55.26,False,False,,0,,,,49,1660300376,4850941444,2677260279.249776,7822218820.515041,8000000000.0,34.2,118315345,$118M,-23.79
PAXGUSDT,PAXG,Etabli,43,4173.1,21926814.165238,-3.497,24.75509270215008,-25.589290068012588,4551.6341999999995,4668.280250000001,0.2009030559059894,0.17033385499211545,0.17033385499211545,0.5385062274303551,0.40931256327047594,4388.35388888889,4864.678888888889,downtrend,0,1,baissier,365,0,0,30,,,45.0,19.0,95.5,78.5,18.3,54.65,False,False,,0,,,,46,1905443729,1905443729,456894.511,456894.511,,100.0,1902107125,$1.9B,-7.61
STGUSDT,STG,Mid,466,0.4074,15459396.41403,56.632,69.49184996590729,0.014556849851848415,0.22324400000000005,0.17557700000000007,2.756734453307844,0.470495258166491,0.0,8.445487297459046,0.17537885207951154,0.17068055555555556,0.2856333333333334,rsi_bearish_divergence,0,1,baissier,365,0,0,30,,,31.0,91.0,50.5,78.5,15.9,54.33,False,False,,3,⚡ Volume ×8.4 vs médiane,,8.45,63,47897941,47897941,117221799.07634439,117221799.07634439,1000000000.0,100.0,74390761,$74M,-0.81
