symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
DEXEUSDT,DEXE,Etabli,80,17.166,7159283.42451,19.466,50.63324409789145,-0.5280685357956987,15.816719999999997,7.922385,1.834498284317605,0.35214070816940524,0.20374913214533677,2.033945675365998,0.1561221841986229,8.040638888888891,19.53994444444444,,0,0,neutre,365,0,0,30,,,45.0,100.0,46.0,78.5,50,70.29,False,False,,0,,,,71,814551718,1681434397,46750552.58384035,96504599.33609451,,48.4,,,
WLDUSDT,WLD,Etabli,42,0.6355,88639813.69309,5.917,64.15716696915543,0.001989716662920901,0.39145800000000003,0.40538399999999997,2.3486008262022935,0.28035659391331075,0.05984298622426305,1.1355975325365473,0.21904341396190286,0.24217500000000008,0.5651416666666667,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,75.0,50.5,78.5,50,63.17,False,False,,0,🔥 Trending #14 sur CoinGecko,14,,61,2200000622,6358648563,3459855660.51669,10000000000.0,10000000000.0,34.6,,,
NEARUSDT,NEAR,Etabli,33,2.181,31235670.4103,0.507,51.041449022431266,-0.01866677812581443,2.01434,1.5351650000000001,1.48095782893274,0.3400780972665957,0.22648207312744065,0.4745654319013269,0.2756077993525967,1.228833333333333,2.4715833333333337,,0,0,neutre,365,0,0,30,,,45.0,73.0,56.5,78.5,50,62.94,False,False,,0,,,,61,2829422058,2829422063,1298895718.0,1298895720.0,,100.0,,,
IOUSDT,IO,Mid,361,0.1979,4320824.41789,-1.64,64.41530839819163,0.0020724482674647693,0.16102799999999998,0.13752550000000002,1.2828750513900211,0.29012023000522735,0.0,1.0950989399241706,0.31844180015649703,0.10168888888888888,0.18742777777777778,doji_4h,0,0,neutre,365,0,0,30,,,31.0,91.0,67.0,68.0,50,61.77,False,False,,0,,,,68,69097124,158045953,349537102.231732,799496726.0387808,800000000.0,43.7,,,
TAOUSDT,TAO,Etabli,41,235.1,69450698.22127,0.772,47.70320772264839,1.5043141773125068,259.08599999999996,246.73250000000004,1.1128317038075168,0.4417867435158502,0.32305475504322767,1.5996210302267522,0.5444503977899158,219.2444444444444,324.5083333333334,downtrend,0,1,baissier,365,0,0,30,,,45.0,72.0,58.0,78.5,19.6,60.57,False,False,,0,,,,54,2258124078,4940937754,9597491.0,21000000.0,21000000.0,45.7,,,
ALLOUSDT,ALLO,Mid,270,0.4267,12258837.42912,7.346,66.66098582602316,-0.004042300929138612,0.21340200000000004,0.13429450000000007,4.151796753194624,0.3757798165137615,0.02490290153072873,1.8229439522203716,-8.35214880835927e-05,0.08829166666666666,0.3947583333333333,rsi_bearish_divergence|uptrend|doji_4h,1,1,mixte,224,0,0,30,,,27.1,91.0,50.5,78.5,17.2,59.92,False,False,,0,,,,55,100094619,335177703,235112576.4372764,787299999.5890485,1000000000.0,29.9,,,
EIGENUSDT,EIGEN,Mid,163,0.306,13284495.529519,12.17,74.86557211554022,0.011617499761462669,0.20799800000000007,0.2532694999999999,1.3872895044055316,0.35440000000000005,0.0,1.8615680665841987,0.5419201022414175,0.15931111111111107,0.23928333333333324,,0,0,neutre,365,0,0,30,,,31.0,75.0,67.0,78.5,50,59.74,False,False,,0,,,,60,225300186,556960434,741228566.6979554,1832377467.972903,,40.5,4832420574,$4.8B,1.04
WUSDT,W,Mid,322,0.01295,8723273.327349,17.942,66.14411981094443,0.00039521227682465286,0.011949399999999999,0.020745850000000003,1.1850903416300362,0.48562874251497,0.2245508982035928,3.345189446647317,0.43542483189710135,0.009720277777777777,0.015169444444444449,,0,0,neutre,365,0,0,30,,,31.0,75.0,62.5,78.5,50,59.47,False,False,,2,🔥 Trending #8 sur CoinGecko|⚡ Volume ×3.4 vs médiane,8,3.35,66,77256259,128045427,6033503942.0,10000000000.0,10000000000.0,60.3,2038308647,$2.0B,-7.3
AWEUSDT,AWE,Mid,248,0.05859,881176.06834,8.04,63.19866184053018,0.0003132780851103674,0.05400540000000001,0.056070499999999995,0.5030000658319034,0.2022819885900571,0.04710676446617773,1.5470177155667528,0.3153169843351826,0.04871638888888889,0.058141111111111116,uptrend,1,0,haussier,365,0,0,30,,,31.0,84.0,100.0,57.5,50,58.98,False,False,,0,,,,71,113672296,113672296,1942420283.0270672,1942420283.0270672,2000000000.0,100.0,,,
RIFUSDT,RIF,Mid,288,0.0906,1887040.0241,6.213,53.924934309283856,-0.00011641193728868966,0.07288600000000002,0.04597300000000001,2.8381605576679276,0.4174757281553398,0.26320064987814784,1.0085040231110405,0.15809939981248902,0.03492222222222222,0.09111944444444443,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,31.0,91.0,46.0,68.0,21.8,58.5,False,False,,0,,,,58,90461394,90461394,1000000000.0,1000000000.0,,100.0,,,
XLMUSDT,XLM,Etabli,16,0.2155,13589388.969,2.133,55.24128927202757,-0.00016377130865549185,0.18519600000000003,0.1856225,1.5637660658730184,0.2962677953058869,0.17121969988457103,0.5554217985708597,0.277805809526657,0.14965555555555557,0.22570000000000004,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,66.0,46.0,78.5,21.8,58.24,False,False,,0,,,,50,7284927083,10769267799,33823968158.83815,50001786839.91258,,67.6,,,
ENAUSDT,ENA,Etabli,73,0.0968,24307222.624903,7.436,54.787680389963995,0.0017030219554316213,0.09938999999999998,0.13626000000000002,1.3100815157223185,0.4553706505295008,0.2692889561270802,1.319590942174045,0.35655226458510525,0.08172222222222221,0.12119444444444448,doji_4h,0,0,neutre,365,0,0,30,,,45.0,55.0,62.5,78.5,50,57.98,False,False,,0,,,,56,901240218,1454590803,9293750000.0,15000000000.0,15000000000.0,62.0,4479557091,$4.5B,-0.24
