symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d
CUSDT,C,Speculative,,0.0783,883278.47842,2.621,52.22400929811931,-0.0007539688622539053,0.07210000000000001,0.07720200000000003,1.1412866581438308,0.3746736292428199,0.12430011198208285,0.014844522476626551,0.1340583404793461,0.048902777777777774,0.08561944444444441,,0,0,neutre,290,0,0,30,,,14.9,57.0,56.5,57.5,50,52.09,False,False,,0,,,,56
LDOUSDT,LDO,Mid,144,0.3716,1415823.384761,-0.108,50.537685558868084,-0.004996531365054065,0.341394,0.5149919999999999,1.226028320993027,0.31823715607499387,0.17098793026374612,0.01733011006839019,0.7367996148999445,0.2891194444444445,0.3979833333333334,macd_bearish_cross|double_bottom_90d|uptrend,2,1,haussier,365,0,0,30,,,31.0,57.0,54.5,68.0,32.2,52.01,False,False,,0,,,,52
CVXUSDT,CVX,Mid,214,1.744,224955.928107,1.336,47.353495465028175,-0.0036110348765012994,1.7840400000000003,1.9147199999999989,0.5807919331515989,0.2914681680381118,0.2451277609354699,0.0010802807242553181,0.7333155496365977,1.6680277777777779,2.1146666666666665,double_bottom_90d|uptrend,2,0,haussier,365,0,0,30,,,31.0,37.0,75.5,47.0,62.4,51.99,False,False,,0,,,,56
ACTUSDT,ACT,Speculative,,0.0149,1074784.7691,4.93,55.897945036792784,-5.009104240348387e-07,0.013450000000000004,0.019387999999999992,1.228602927321966,0.2839506172839506,0.12426035502958567,0.03833561196852963,0.4905106776565843,0.012013888888888886,0.015680555555555555,macd_bearish_cross,0,1,baissier,365,0,0,30,,,17.0,57.0,62.5,68.0,19.9,51.89,False,False,,0,,,,50
BNSOLUSDT,BNSOL,Speculative,,93.4,219580.0601,0.538,48.19085747363301,-0.22899948917224927,94.648,128.00550000000004,0.5005520840797092,0.19868791002811623,0.12464854732895966,0.002460025984024456,0.920320679594127,87.43611111111113,101.58333333333333,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,37.0,81.5,47.0,56.0,51.87,False,False,,0,,,,56
XLMUSDT,XLM,Etabli,21,0.1596,3894414.3374,-0.063,43.74697731917771,-0.001429432652476883,0.16535999999999998,0.20926799999999987,0.5115537206577578,0.1632536973833902,0.10776102735901737,0.007253018053969422,0.8498109514487708,0.15106111111111106,0.17604722222222227,double_top_90d,0,1,baissier,365,0,0,30,,,45.0,28.0,87.5,68.0,28.6,51.67,False,False,,0,,,,44
AIXBTUSDT,AIXBT,Speculative,626,0.0349,5282957.61025,16.722,69.03196891935303,0.0007001756068020391,0.025886000000000006,0.03563999999999999,1.2909925296762663,0.272108843537415,0.0,0.028246648122489892,0.5292605540555446,0.019661111111111115,0.02991388888888889,downtrend,0,1,baissier,365,0,0,30,,,17.0,48.0,67.0,78.5,30.6,51.63,False,False,,0,,,,47
AXLUSDT,AXL,Mid,319,0.076,4416912.76083,12.927,71.6414705777625,0.0019514470610299123,0.053064,0.08960349999999999,1.7459943406192253,0.33487654320987653,0.0,0.08375832590525133,0.4117842296713654,0.045675,0.06630555555555556,uptrend,1,0,haussier,365,0,0,30,,,31.0,48.0,56.5,68.0,56.4,51.51,False,False,,0,,,,52
INITUSDT,INIT,Speculative,,0.0883,230761.4429,-2.215,50.35736914954983,-0.00043709330923977305,0.08471399999999997,0.09820850000000009,0.7948082708025472,0.40848389630793397,0.3071484681853888,0.0009636004817094949,0.2719731533547292,0.07116666666666666,0.10255555555555555,macd_bearish_cross|double_bottom_90d|uptrend|doji_4h,2,1,haussier,365,0,0,30,,,17.0,57.0,62.5,47.0,32.2,51.5,False,False,,0,,,,53
VTHOUSDT,VTHO,Mid,450,0.000567,76625.387335,0.354,47.77842353838347,-1.725870352932201e-06,0.0005707,0.00078498,0.34745571274532416,0.2110778443113772,0.1497005988023951,0.004701982711631017,0.7797253793959587,0.0005419166666666666,0.0006428333333333334,macd_bearish_cross|support_bounce|doji_4h,1,1,mixte,365,0,0,30,,,31.0,37.0,87.5,47.0,21.1,51.49,False,False,,0,,,,48
