symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
TRXUSDT,TRX,Etabli,8,0.3301,27628825.00057,-0.091,53.818040776337206,0.0011569400962828688,0.3299140000000002,0.3138430000000001,0.18695875603519177,0.16054313099041526,0.12113951011714587,0.3482093692120826,0.47160596601535276,0.3186861111111111,0.35937222222222226,,0,0,neutre,365,0,0,30,,,45.0,73.0,95.5,78.5,50,65.04,False,False,,0,,,,67,2,,Volume ×0.3 (épuisement),31288325635,31288330191,94866220114.4218,94866233926.1617,,100.0,,,
ZECUSDT,ZEC,Etabli,15,514.23,108253438.89845,-1.896,59.412648074226986,11.435922557491118,472.0866,381.5334,0.948864202560807,0.46200671081153305,0.23584345398936948,0.3903685435111564,0.4295889321514427,336.0008333333333,611.8483333333332,,0,0,neutre,365,0,0,30,,,45.0,73.0,73.0,78.5,50,63.69,False,False,,0,,,,64,2,,Volume ×0.4 (épuisement),8627098970,8627899360,16791065.7905448,16792623.6030448,21000000.0,100.0,,,
ETHUSDT,ETH,Etabli,2,1783.94,425618326.768248,-0.942,55.10886542415861,17.751707698542447,1756.6558000000002,2217.319600000001,0.43840165205168896,0.3518644067796611,0.26243489045059937,0.5615326482867696,0.8809737681639982,1613.9461111111111,2357.5663888888885,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,66.0,75.5,78.5,50,63.0,False,False,,0,🔥 Trending #8 sur CoinGecko,8,,62,2,,Volume ×0.6 (épuisement),214870352280,214870352280,120683010.8076807,120683010.8076807,,100.0,,,
AAVEUSDT,AAVE,Etabli,53,96.04,15985491.53373,-1.87,62.340619427055856,0.5551709816498449,79.936,108.72129999999996,0.846856232305753,0.47202494370344705,0.16828338818638483,0.40762272954926587,0.5314739720737597,67.49194444444446,101.1911111111111,uptrend|morning_star_4h,2,0,haussier,365,0,0,30,,,45.0,57.0,73.0,78.5,50,61.77,False,False,,0,🔥 Trending #13 sur CoinGecko,13,,59,2,,Volume ×0.4 (épuisement),1457418246,1536154632,15179911.874935383,16000000.0,16000000.0,94.9,13110355555,$13.1B,2.4
UNIUSDT,UNI,Etabli,39,3.557,12860071.64859,-2.146,68.49830410621207,0.055262404358581596,2.9781600000000013,3.7210899999999985,0.8334450264515502,0.40010015022533807,0.10891337005508263,0.5133161158724153,0.5266155863272772,2.614416666666666,3.6770833333333335,morning_star_4h,1,0,haussier,365,0,0,30,,,45.0,57.0,73.0,78.5,50,61.77,False,False,,5,🔥 Trending #3 sur CoinGecko,3,,63,2,,Volume ×0.5 (épuisement),2208960324,3177028569,620963561.5538775,893098420.0329479,1000000000.0,69.5,1467785636,$1.5B,1.12
ARBUSDT,ARB,Etabli,94,0.0939,7897767.58586,-1.778,65.02858245467664,0.00257641608288143,0.08621000000000001,0.12036849999999999,0.6578316297118316,0.49132546842470504,0.35045107564191535,0.8149159564801353,0.6018624877016142,0.07640277777777778,0.133975,,0,0,neutre,365,0,0,30,,,45.0,57.0,68.5,78.5,50,61.5,False,False,,0,🔥 Trending #15 sur CoinGecko,15,,55,0,,,591624876,929812441,6362841042.0,10000000000.0,10000000000.0,63.6,2786778359,$2.8B,-0.0
DEXEUSDT,DEXE,Etabli,41,44.22,36129658.3264,1.817,77.05487902718785,2.1453440445933873,21.961980000000004,10.441350000000002,2.098011388706147,0.35214070816940524,0.07624039425325753,1.0,0.1533640828708227,11.386944444444444,28.28102777777778,,0,0,neutre,365,0,0,30,,,45.0,64.0,50.5,78.5,50,61.26,False,False,,2,🔥 Trending #6 sur CoinGecko,6,,49,2,,RSI 77 (surachat),2060039493,4252448558,46750309.420346804,96504599.33609451,,48.4,,,
BCHUSDT,BCH,Etabli,22,238.4,6255290.596,-2.614,55.14510649510013,4.452123569751625,233.016,432.0884999999999,0.5692286692917503,0.5911531028559157,0.48808245651707105,0.4393006366640992,0.7210387357773272,196.375,456.2972222222222,morning_star_4h,1,0,haussier,365,0,0,30,,,45.0,57.0,62.0,78.5,50,61.11,False,False,,0,,,,57,2,,Volume ×0.4 (épuisement),4775456568,4775523520,20060731.14665078,20061012.39665078,21000000.0,100.0,,,
JSTUSDT,JST,Etabli,75,0.10044,3604389.66451,-0.986,72.12544936910864,0.0011277559469240056,0.08725959999999996,0.06563490000000001,0.3962488457920534,0.2377463626044783,0.019709239925846365,0.6748636376474602,0.045413775761733735,0.07396916666666667,0.09618250000000002,uptrend|bullish_engulfing_4h,2,0,haussier,365,0,0,30,,,45.0,73.0,94.0,68.0,50,60.77,False,False,,0,,,,64,4,⚠️ Surveiller,RSI 72 (surachat)|Près du plus haut 90j (résistance),850208164,850208164,8543764567.312736,8543764567.312736,9900000000.0,100.0,3283021067,$3.3B,2.77
SOLUSDT,SOL,Etabli,7,76.31,100643422.99384,-0.56,49.936910453612114,-0.2544114476641557,74.26200000000001,91.57385000000008,0.5203945165621041,0.361199548115436,0.21587758036356178,0.3207107346710478,0.8067780660043552,67.06722222222221,90.4711111111111,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,57.0,75.5,78.5,27.9,60.6,False,False,,1,🔥 Trending #7 sur CoinGecko,7,,55,5,⚠️ Surveiller,Volume ×0.3 (épuisement)|MACD cross baissier,44390753959,48046889189,582272829.8347019,630230298.8285782,,92.4,,,
