symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
JSTUSDT,JST,Etabli,83,0.09261,5473160.432375,-3.37,54.49910240285689,-0.00031311069020120014,0.08511660000000003,0.055471600000000024,0.477276495487076,0.17961042246395148,0.04529976266639141,1.3138439264811022,-0.21492536077777294,0.052011388888888885,0.09270194444444445,uptrend,1,0,haussier,365,0,0,30,,,45.0,91.0,94.0,78.5,50,64.41,False,False,,0,,,,72,789613405,789613405,8543764567.312736,8543764567.312736,9900000000.0,100.0,3385792935,$3.4B,-4.47
RENDERUSDT,RENDER,Etabli,66,2.118,14059344.96597,6.7,58.15151028129179,0.011725701832680971,1.89074,1.7398349999999994,0.7316947239775594,0.18283764017552423,0.07333042339589686,0.5886584583637696,0.5994588230063919,1.5202499999999997,2.0724444444444443,uptrend,1,0,haussier,365,0,0,30,,,45.0,82.0,89.5,78.5,50,62.7,False,False,,0,,,,69,1090392847,1121418576,518743261.0140742,533503434.2940742,644245094.0,97.2,,,
BNBUSDT,BNB,Etabli,4,723.1,466303072.4718,7.323,71.85033337059566,5.203037096650354,643.0218000000001,735.3960500000001,0.4513799189484248,0.14151623486486892,0.0,1.9267016097165193,0.707134046614276,602.3349999999999,674.1974999999999,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,45.0,75.0,92.0,78.5,50,62.21,False,False,,0,,,,64,96961662864,96961662864,134784588.85,134784588.85,200000000.0,100.0,153608237461,$153.6B,-0.26
HBARUSDT,HBAR,Etabli,27,0.09766,33705874.32516,-0.418,61.154695866000274,0.0009062292390276146,0.09041980000000002,0.10510105000000003,0.5281591588879604,0.1590864148704765,0.032726913189638066,1.33028471281182,0.6413869664308389,0.08643666666666666,0.09813583333333337,macd_bullish_cross|double_top_90d|uptrend,2,1,haussier,365,0,0,30,,,45.0,75.0,100.0,78.5,24.9,61.82,False,False,,0,,,,62,4221931687,4866946401,43373517390.48946,50000000000.0,50000000000.0,86.7,,,
ASTERUSDT,ASTER,Etabli,48,0.743,57225170.59407,7.681,65.36218041222585,0.0061195500503619,0.6762600000000001,0.7448400000000001,0.5515721855397557,0.14417989417989416,0.015873015873015886,2.443404736109549,0.5018409756468919,0.6486388888888891,0.7243888888888887,uptrend,1,0,haussier,238,0,0,30,,,41.5,75.0,100.0,78.5,50,61.66,False,False,,2,🔥 Trending #6 sur CoinGecko,6,,72,1911539052,5795708297,2579922243.4698935,7822218820.515041,8000000000.0,33.0,177959233,$178M,11.31
ALGOUSDT,ALGO,Etabli,64,0.1299,10032883.1825,0.62,64.08162602266,0.0014857626541581702,0.114136,0.113281,0.7184970289947102,0.2028443113772455,0.028443113772455075,0.6538695554233345,0.40950113106709163,0.08454722222222223,0.12473333333333333,macd_bullish_cross|golden_cross|downtrend,2,1,haussier,365,0,0,30,,,45.0,82.0,89.5,78.5,24.2,61.15,False,False,,0,,,,63,1147396861,1147396861,8919020679.422695,8919020679.422695,10000000000.0,100.0,,,
TRXUSDT,TRX,Etabli,8,0.3496,41963642.43903,1.984,46.8796518040655,-0.0029531601020353956,0.342532,0.3045295000000001,0.2484436646552501,0.0830670926517572,0.06948881789137383,0.37720559169406637,0.09552818483262748,0.2917194444444444,0.359275,macd_bearish_cross,0,1,baissier,365,0,0,30,,,45.0,73.0,94.0,78.5,25.0,60.75,False,False,,0,,,,61,33078064093,33079011149,94812553398.29669,94815267969.36128,,100.0,,,
NEARUSDT,NEAR,Etabli,37,2.282,56953104.3281,-5.897,61.711374314773145,0.008456552622396862,1.64104,1.513309999999999,1.1776323187633047,0.2201342281879195,0.17604617604617606,0.8502718655004755,0.35113165364054605,1.2123611111111112,2.0801111111111115,uptrend,1,0,haussier,365,0,0,30,,,45.0,82.0,74.5,78.5,50,60.6,False,False,,0,,,,67,2943373891,2943373900,1296935186.0,1296935190.0,,100.0,,,
INJUSDT,INJ,Etabli,91,6.55,17872207.94308,1.049,74.95835302441358,0.10235520792532715,4.279520000000001,4.236354999999998,1.0377037023295577,0.17542805647341544,0.004698393452561336,0.8071038216031474,0.464391125026961,2.848388888888889,5.457833333333334,golden_cross,1,0,haussier,365,0,0,30,,,45.0,73.0,79.0,78.5,50,60.15,False,False,,0,,,,62,651987297,651987297,100000000.0,100000000.0,,100.0,14405184,$14M,-3.83
ONDOUSDT,ONDO,Etabli,50,0.3649,23383317.52328,5.159,48.80597368623219,-0.008603475745414525,0.3307340000000001,0.3456595,1.3955957107195036,0.23776843037414214,0.191056010626522,1.2414576907290211,0.4925827563967331,0.24962777777777775,0.4129277777777777,,0,0,neutre,365,0,0,30,,,45.0,75.0,74.5,78.5,50,59.76,False,False,,0,,,,64,1772620010,3640377167,4869330647.0,10000000000.0,10000000000.0,48.7,2673520990,$2.7B,-0.57
ZECUSDT,ZEC,Etabli,13,559.49,80880709.64374,7.883,52.28975696504075,-16.225137743288983,471.36440000000005,383.9133999999997,1.4094149858507052,0.2285549174702929,0.1672209519850343,0.37183711639821176,0.6093175824446699,213.93694444444444,602.4969444444444,uptrend,1,0,haussier,365,0,0,30,,,45.0,73.0,74.5,78.5,50,59.52,False,False,,0,🔥 Trending #15 sur CoinGecko,15,,64,9311324290,9311324290,16688225.1655448,16688225.1655448,21000000.0,100.0,,,
XLMUSDT,XLM,Etabli,17,0.248,118551179.1732,1.89,73.42070178915469,0.011915428157854745,0.16611400000000004,0.19020749999999986,1.3440522875350316,0.19877163595756572,0.0439137134052388,4.3811778997493915,0.3347135689784045,0.1484222222222222,0.18823055555555557,macd_bullish_cross|downtrend,1,1,mixte,365,0,0,30,,,45.0,75.0,79.0,78.5,24.2,58.84,False,False,,2,🔥 Trending #8 sur CoinGecko|⚡ Volume ×4.4 vs médiane,8,4.38,63,8247651194,12270305099,33609375935.99424,50001786839.91258,,67.2,,,
ATOMUSDT,ATOM,Etabli,71,1.99,2290415.0485,-2.451,47.41565010240393,-0.015360720302053252,1.9542799999999998,2.07816,0.5139885135410184,0.16784630940343787,0.10099188458070332,0.5936319805807075,0.5317510269268174,1.70175,2.0922500000000004,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,45.0,66.0,95.5,68.0,25.0,58.01,False,False,,0,,,,59,1017329072,1017329072,511498011.892251,511498011.892251,,100.0,,,
TONUSDT,TON,Etabli,23,1.906,22971424.31114,8.48,51.35711975865083,-0.03350022398907224,1.7444599999999997,1.5469750000000015,1.5404007593640408,0.35519528371407516,0.2980840088430361,0.6764889237408465,0.3387972328407085,1.2330555555555556,2.20875,,0,0,neutre,365,0,0,30,,,45.0,82.0,52.0,78.5,50,57.45,False,False,,0,,,,63,5064851045,9843250163,2670032904.59987,5189057208.555343,,51.5,,,
WLDUSDT,WLD,Etabli,65,0.339,63910602.34863,14.372,59.8999929000114,0.006097376251397035,0.272942,0.41754350000000007,1.3549890578454662,0.4426190476190476,0.1919047619047619,0.9191040250370413,0.4797745652322688,0.24217500000000008,0.3798055555555557,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,66.0,62.5,78.5,50,57.0,False,False,,0,,,,60,1131394221,3370911682,3356344892.59662,10000000000.0,10000000000.0,33.6,,,
XRPUSDT,XRP,Etabli,5,1.3413,63939042.82636,-0.171,43.709336681005766,-0.003295639756872082,1.3952959999999996,1.6477250000000006,0.3415260523183347,0.1525599481529487,0.13058976020738822,0.1569028229987576,0.8594417262792758,1.3178555555555553,1.4729666666666665,support_bounce|uptrend,2,0,haussier,365,0,0,30,,,45.0,28.0,87.5,78.5,55.6,56.28,False,False,,0,,,,51,82966037567,133844827241,61977843307.0,99985656462.0,100000000000.0,62.0,,,
