symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,categories
SCRUSDT,SCR,Speculative,,0.05293,2372151.762224,7.494,68.28753023452491,0.0008248050592254187,0.0434248,0.09301155,0.6575094030819224,0.511,0.36337499999999995,4.164942494058637,0.6992564858131598,0.04046222222222222,0.07007361111111111,bullish_engulfing_4h,1,0,haussier,365,0,0,30,,,17.0,75.0,59.5,68.0,62.5,57.8,False,
DODOUSDT,DODO,Speculative,,0.01898,1374410.382064,6.212,77.02719753075421,0.0004112456158348962,0.0151568,0.0214617,0.6237532815290009,0.2936507936507936,0.0,3.2726933613090687,0.6101947220745877,0.013893611111111112,0.018249722222222223,bullish_engulfing_4h,1,0,haussier,365,0,0,30,,,17.0,66.0,77.5,68.0,62.5,57.8,False,
EPICUSDT,EPIC,Speculative,,0.303,1123906.2706,-4.717,63.288066409242944,0.006866413471244971,0.26612,0.57811,0.7836556720004367,0.5941278065630398,0.4697754749568221,1.3923086241611975,0.6540132683001612,0.24844444444444447,0.4931666666666667,uptrend,1,0,haussier,365,0,0,30,,,17.0,75.0,59.5,68.0,62.5,57.8,False,
SCRTUSDT,SCRT,Speculative,621,0.0989,1114855.89407,-6.433,60.032941698877,0.0012340673195164564,0.08224000000000001,0.1251455,0.816000980364895,0.5902298850574712,0.43333333333333335,1.457375588080713,0.6923163536564696,0.07460833333333333,0.1439027777777778,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,75.0,59.5,68.0,62.5,57.8,False,Artificial Intelligence (AI)|Infrastructure|Smart Contract Platform|Cosmos Ecosystem|Layer 1 (L1)
TSTUSDT,TST,Speculative,,0.0118,8249182.911365,-19.178,58.556572254347,0.0005843443924655042,0.0094148,0.014998450000000002,1.9559591132409513,0.48021108179419525,0.21701846965699206,10.081622803320906,0.5299494856484164,0.008340833333333332,0.014090277777777778,downtrend,0,1,baissier,365,0,0,30,,,17.0,84.0,52.0,78.5,37.5,57.73,False,
PYRUSDT,PYR,Speculative,,0.272,4742010.76944,-2.857,50.365713058053764,0.0040998150670322146,0.28488,0.48472000000000004,0.6309624012159669,0.4728033472803347,0.4288702928870292,5.132114977073509,0.621290229857306,0.26016666666666666,0.4252777777777778,double_bottom_90d|uptrend,2,0,haussier,365,0,0,30,,,17.0,64.0,68.5,68.0,75.0,57.73,False,
AVAUSDT,AVA,Speculative,,0.2429,957778.20357,7.668,71.25232803122711,0.00373688133785277,0.20258600000000002,0.2918695,0.6178328953469968,0.4822278197593059,0.3341729638958858,3.115648345561698,0.724042958465613,0.19091111111111111,0.3053777777777778,breakout_30d|double_bottom_90d|resistance_test|bullish_engulfing_4h,3,1,haussier,365,0,0,30,,,17.0,75.0,60.5,57.5,75.0,57.72,False,
CATIUSDT,CATI,Speculative,,0.0491,500758.59148,-0.607,50.71679244895451,-0.0004978853556159583,0.046068,0.0576575,0.7870093379067299,0.38525963149078724,0.17922948073701844,1.4078761679335088,0.5257695427424619,0.03869722222222222,0.05766666666666667,uptrend,1,0,haussier,365,0,0,30,,,17.0,75.0,73.0,57.5,62.5,57.72,False,
STRAXUSDT,STRAX,Speculative,680,0.01388,315049.4387,-1.21,56.33429139243382,0.0001408177431279659,0.0136286,0.021389000000000002,0.38707173261144406,0.3899613899613899,0.33542471042471045,0.9352214344600165,0.8447360071708188,0.012904722222222222,0.019573333333333335,double_bottom_90d|uptrend|doji_4h,2,0,haussier,3539,0,0,60,,,27.0,66.0,71.0,53.0,75.0,57.7,False,Smart Contract Platform|Proof of Stake (PoS)
ILVUSDT,ILV,Speculative,544,4.81,2811544.26922,2.778,68.6309987078433,0.0853292914839813,3.8676,6.5998,1.033914980441515,0.4383333333333333,0.20000000000000004,5.396997004519885,0.6824651316869786,3.4791666666666665,5.368055555555555,uptrend|evening_star_4h,1,1,mixte,365,0,0,60,,,17.0,75.0,62.5,74.0,50.0,57.58,False,Gaming (GameFi)|NFT|Metaverse|Play To Earn|Ethereum Ecosystem
XAIUSDT,XAI,Speculative,,0.01124,4620668.953882,6.54,67.69328418696936,0.00022652617430438522,0.009849799999999999,0.016943200000000002,1.0024415434517302,0.4612095296273671,0.31948686621869266,5.76960444178651,0.6607475746875413,0.009058611111111111,0.014210277777777777,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,75.0,58.0,68.0,62.5,57.57,False,
BICOUSDT,BICO,Speculative,,0.0246,604291.411395,-4.651,58.48865741011442,0.0002936793712016466,0.022384,0.043156999999999994,0.7730777905728354,0.5571428571428572,0.4071428571428572,1.2146924146622944,0.6703802734141895,0.020122222222222222,0.03590555555555555,macd_bullish_cross|double_bottom_90d,2,0,haussier,365,0,0,30,,,17.0,75.0,59.5,57.5,75.0,57.57,False,
SANDUSDT,SAND,Mid,168,0.0813,2641127.2894,-4.912,55.721802465024595,0.000998211996014039,0.080098,0.1335085,0.6554727445972628,0.5617021276595745,0.49726443768996964,1.231554889077866,0.7821348773447304,0.07508611111111112,0.12563888888888888,double_bottom_90d|double_top_90d,1,1,mixte,365,0,0,30,,,31.0,75.0,51.5,68.0,50.0,57.52,False,
ENAUSDT,ENA,Etabli,68,0.1217,35636515.530971,-1.696,68.92936052366252,0.004677746762998024,0.100028,0.228201,1.0827644585687142,0.5908624229979467,0.3660164271047228,1.0520055296571331,0.7746692758212251,0.08821111111111112,0.16141666666666665,downtrend,0,1,baissier,365,0,0,60,,,45.0,66.0,41.0,84.5,37.5,57.48,False,Decentralized Finance (DeFi)|Binance Launchpool|Avalanche Ecosystem|Arbitrum Ecosystem|Ethereum Ecosystem
ATAUSDT,ATA,Speculative,,0.0103,1734617.6272,-4.63,59.49273184055334,0.00028006344467882696,0.01018,0.018482000000000002,0.7555229355383486,0.541899441340782,0.41340782122905023,18.788301494526277,0.7033318245295264,0.008819444444444444,0.016055555555555556,doji_4h,0,0,neutre,365,0,0,30,,,17.0,84.0,51.5,68.0,50,57.43,False,
INJUSDT,INJ,Mid,133,3.244,2953423.81872,-5.67,59.27262205288209,0.05612659227197225,3.0063,5.235304999999999,0.6239259648737463,0.43273403595784254,0.32217400289315984,0.7631372654638064,0.8085281839013303,2.8377777777777777,4.233666666666667,double_bottom_90d|downtrend,1,1,mixte,365,0,0,60,,,31.0,66.0,60.5,74.0,50.0,57.38,False,Smart Contract Platform|Decentralized Finance (DeFi)|BNB Chain Ecosystem|Cosmos Ecosystem|Layer 1 (L1)
SUSDT,S,Mid,196,0.04499,2305946.289962,-4.984,55.55577828559665,0.0005792536155164819,0.0424562,0.09261685,0.8506158803750814,0.4973924380704042,0.4092568448500652,0.7997670992488725,0.7202572448112312,0.03934972222222222,0.0638188888888889,double_bottom_90d|double_top_90d,1,1,mixte,365,0,0,60,,,31.0,66.0,60.5,74.0,50.0,57.38,False,Smart Contract Platform|Layer 1 (L1)|Galaxy Digital Portfolio|Sonic Ecosystem
TAOUSDT,TAO,Etabli,40,246.8,28663061.733,-5.404,41.927021599915065,-7.762823955545894,262.19599999999997,279.5825,1.118949087389558,0.42468454258675076,0.28069164265129687,0.5258927191686075,0.6145701114120686,166.29444444444445,320.1111111111111,,0,0,neutre,365,0,0,70,6,4,60.0,37.0,62.5,86.5,50,57.28,False,Artificial Intelligence (AI)|Smart Contract Platform|Layer 1 (L1)|DePIN|Bittensor Ecosystem
PIXELUSDT,PIXEL,Speculative,,0.00833,5641373.573694,1.709,54.70527057114333,0.00016611546302819428,0.0078882,0.01067215,1.3732678005441727,0.5665976535541752,0.4209799861973775,3.684268003586468,0.3228219454807512,0.0050080555555555555,0.010551944444444444,downtrend,0,1,baissier,365,0,0,30,,,17.0,84.0,49.0,78.5,37.5,57.28,False,
VICUSDT,VIC,Speculative,,0.0619,7169963.984276,12.138,76.58573632677118,0.0013225016522740683,0.046924,0.09170249999999999,0.7007332756235288,0.564410480349345,0.3384279475982533,16.129145524270832,0.526587918360674,0.04308611111111111,0.077325,uptrend|doji_4h,1,0,haussier,365,0,0,30,,,17.0,66.0,59.5,78.5,62.5,57.2,False,
TUTUSDT,TUT,Speculative,,0.01133,2865574.29704,-9.36,59.681631181697135,0.00037585821184017004,0.0098924,0.01797105,1.1712805696404602,0.4860161591050342,0.2871348663766315,3.3029594697034095,0.5986821692786147,0.008800833333333334,0.014100555555555554,double_top_90d,0,1,baissier,365,0,0,30,,,17.0,84.0,62.5,68.0,37.5,57.2,False,
POLUSDT,POL,Etabli,73,0.0895,5382375.7106,-1.323,48.78613447737349,0.0006566116398309756,0.09410199999999999,0.131212,0.5645997764958696,0.3998532648569333,0.3426265590608951,0.7534900842383925,0.6693893095921775,0.08731944444444445,0.12176111111111111,macd_bullish_cross|double_top_90d|downtrend,1,2,baissier,365,0,0,60,,,45.0,46.0,79.0,84.5,37.5,57.17,False,Smart Contract Platform|Polygon Ecosystem|Ethereum Ecosystem|Layer 2 (L2)|Zero Knowledge (ZK)
2ZUSDT,2Z,Mid,141,0.09035,1214761.60826,-2.282,60.164399321624806,0.0012778998655135665,0.0785468,,0.9590362227960314,0.522118866718739,0.3583753461620394,0.9942216391505361,0.6041198426516036,0.07100000000000001,0.1203922222222222,macd_bullish_cross|double_bottom_90d|uptrend|doji_4h,3,0,haussier,199,0,0,30,,,26.5,54.0,59.5,68.0,87.5,57.14,False,
PORTOUSDT,PORTO,Speculative,,1.032,270813.85398,2.687,60.221845017322316,0.009052764953431136,1.02148,1.050975,0.4057205411252138,0.22288135593220332,0.14061207609594717,1.050063833038074,0.6938988693891759,0.9436666666666667,1.1586388888888888,double_bottom_90d|double_top_90d|doji_4h,1,1,mixte,365,0,0,30,,,17.0,75.0,95.5,47.0,50.0,57.12,False,
VIRTUALUSDT,VIRTUAL,Mid,107,0.7145,10368442.36303,-7.52,55.93083896104209,0.009806966804513236,0.69186,0.8519585000000001,0.7616404937186944,0.4056625401192114,0.17251260889500225,0.7001847910790587,0.8316489720103896,0.5845527777777778,0.8081499999999999,downtrend,0,1,baissier,365,0,0,30,,,31.0,66.0,65.0,78.5,37.5,57.08,False,
IOTXUSDT,IOTX,Mid,497,0.00493,463525.56577,-0.202,56.49439405982808,6.2088815373822e-05,0.004916,0.00833515,0.6059996015806957,0.4440251572327044,0.37987421383647796,1.1160296669503493,0.5890886181759936,0.004488333333333334,0.007290833333333333,,0,0,neutre,365,0,0,60,,,31.0,75.0,68.5,53.0,50,57.08,False,Artificial Intelligence (AI)|Internet of Things (IOT)|Ethereum Ecosystem|DePIN|Base Ecosystem
FIDAUSDT,FIDA,Speculative,,0.01689,2605123.491578,-6.167,52.876793119942704,0.00010788217034482246,0.0156938,0.03596295,1.2951301914411188,0.6137071651090342,0.4697819314641744,1.575813892836742,0.4874279935244592,0.014111944444444444,0.025800833333333335,,0,0,neutre,365,0,0,30,,,17.0,84.0,49.0,68.0,50,57.05,False,
1000CHEEMSUSDT,1000CHEEMS,Speculative,,0.000565,2208874.55886,2.727,63.923061961445875,1.639720805510413e-05,0.00047256,0.000897395,1.3207035790209685,0.579113924050633,0.3892405063291139,1.8714606273000125,0.6682085644963237,0.00042108333333333337,0.0008110555555555555,double_bottom_90d|downtrend,1,1,mixte,365,0,0,30,,,17.0,84.0,49.0,68.0,50.0,57.05,False,
PEOPLEUSDT,PEOPLE,Speculative,550,0.00775,1516406.155666,-7.074,58.42992611286029,0.00017482612984554658,0.006906,0.0094269,1.0134218714303604,0.3703703703703704,0.1913580246913579,1.485632151855025,0.736475948661396,0.006244444444444445,0.008870277777777777,uptrend,1,0,haussier,365,0,0,30,,,17.0,75.0,54.5,68.0,62.5,57.05,False,Meme|Ethereum Ecosystem|PolitiFi
PUMPUSDT,PUMP,Etabli,66,0.001885,7716301.586576,-7.325,53.19792828385042,2.8413520607599413e-05,0.0018660999999999999,0.0027795,0.7875166751760253,0.48550724637681164,0.39855072463768115,0.4792019407880261,0.6927109681432405,0.0016965,0.0026182500000000004,downtrend,0,1,baissier,220,0,0,30,,,41.0,57.0,68.5,78.5,37.5,56.91,False,Decentralized Exchange (DEX)|Exchange-based Tokens|SocialFi|Decentralized Finance (DeFi)|Automated Market Maker (AMM)
GALAUSDT,GALA,Mid,206,0.00328,3954511.76576,-5.747,57.24863374775023,6.945502770436799e-05,0.0032126,0.0066635,0.7008930129988173,0.5838323353293413,0.5014970059880239,1.2537818140940902,0.8107328609326053,0.0029216666666666666,0.005695277777777777,,0,0,neutre,365,0,0,30,,,31.0,75.0,47.0,68.0,50,56.85,False,
TNSRUSDT,TNSR,Speculative,,0.0425,4506763.29217,3.912,53.736702484431135,0.0006518397103790422,0.042278,0.0669275,1.5160918141177946,0.4552352048558422,0.35053110773899854,3.6098009543584095,0.3917060431230373,0.03776944444444444,0.06019166666666667,,0,0,neutre,365,0,0,30,,,17.0,84.0,47.5,68.0,50,56.83,False,
HEIUSDT,HEI,Speculative,,0.089,2352943.15626,-0.224,59.548437688199826,0.000466326972383576,0.08154600000000001,0.146958,0.6591341136103935,0.5116918844566714,0.37895460797799174,6.2026103576477984,0.6177889937379256,0.07505833333333334,0.12746944444444444,rsi_bearish_divergence|double_bottom_90d|downtrend,1,2,baissier,365,0,0,30,,,17.0,84.0,59.5,68.0,37.5,56.75,False,
