symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,categories
NXPCUSDT,NXPC,Mid,347,0.2919,404882.07575,-1.618,54.43883070240201,0.001199412466087494,0.28488399999999997,0.3574595,0.40650413438615324,0.3335060896605339,0.24125421093547553,0.6151395732005175,0.6335563207221048,0.26488333333333336,0.3656611111111111,macd_bullish_cross|macd_bearish_cross|double_bottom_90d|double_top_90d,2,2,mixte,339,0,0,60,,,30.3,66.0,83.5,53.0,50.0,56.48,False,Smart Contract Platform|Gaming (GameFi)|NFT|Layer 1 (L1)|Avalanche L1
UUSDT,U,Etabli,72,0.9996,12390380.5794,0.0,42.88772863188688,-1.2436091191824573e-05,0.9999899999999999,,0.003317241955431892,0.0020964360587002,0.0019966057701906775,0.6481288624216938,-0.21752235649473697,0.9991333333333334,1.0011555555555554,resistance_test|doji_4h,0,1,baissier,96,0,0,30,,,37.6,45.0,94.0,78.5,37.5,56.45,False,Stablecoins|USD Stablecoin|BNB Chain Ecosystem|Ethereum Ecosystem|Tron Ecosystem
DIAUSDT,DIA,Speculative,,0.208,2438059.30087,4.892,71.28102026952331,0.003112580249382772,0.181772,0.3009735,0.5821112513652824,0.418966737438075,0.2544232130219392,11.379439436925049,0.7180561968051464,0.17207222222222224,0.24784166666666665,resistance_test,0,1,baissier,365,0,0,30,,,17.0,75.0,75.5,68.0,37.5,56.45,False,
REZUSDT,REZ,Speculative,653,0.00386,1023996.449949,-6.763,56.304967743456594,3.939140435809229e-05,0.0034418,0.00574675,0.8508713711933309,0.4157782515991471,0.17057569296375266,0.9713856999821788,0.4715720179904778,0.002885833333333333,0.004465833333333333,,0,0,neutre,365,0,0,60,,,17.0,66.0,73.0,74.0,50,56.45,False,Decentralized Finance (DeFi)|Binance Launchpool|Ethereum Ecosystem|Base Ecosystem|Restaking
YBUSDT,YB,Speculative,,0.1361,10648769.19746,0.369,63.34049820612206,0.004377612444181304,0.132818,,1.09728806250351,0.6408014571948999,0.47358834244080156,13.546182892627586,0.4366898142114052,0.11023055555555555,0.231875,uptrend,1,0,haussier,186,0,0,30,,,12.1,72.0,49.0,78.5,62.5,56.44,False,
FDUSDUSDT,FDUSD,Mid,116,0.9993,24053581.5555,0.0,44.91746313034416,-1.7290131761484894e-05,0.999642,0.998781,0.0041499744815465716,0.0018000000000000238,0.001498950734485806,0.3944367147621573,0.4745147023309771,0.99865,1.0061749999999998,rsi_bullish_divergence|macd_bearish_cross|doji_4h,1,1,mixte,365,0,0,60,,,31.0,36.0,100.0,84.5,50.0,56.4,False,Stablecoins|USD Stablecoin|BNB Chain Ecosystem|Arbitrum Ecosystem|Ethereum Ecosystem
EURIUSDT,EURI,Mid,421,1.1756,793476.54993,-0.271,60.33630059009483,0.0014448636246220808,1.159878,1.1667385000000001,0.07669642155948639,0.05242605516782979,0.023346626786307754,0.3247386990814202,0.24034954385026316,1.1486361111111112,1.188938888888889,,0,0,neutre,365,0,0,30,,,31.0,57.0,94.0,57.5,50,56.4,False,Stablecoins|EUR Stablecoin|BNB Chain Ecosystem|Ethereum Ecosystem|MiCA-Compliant Stablecoin
ADAUSDT,ADA,Etabli,15,0.2484,32095680.03976,-6.193,49.1997376903929,0.0015360324647754257,0.258002,0.4046715,0.6295114667495622,0.3624088576829598,0.3213610586011342,0.5184375101216103,0.8628581689419226,0.24343888888888887,0.33658611111111114,,0,0,neutre,365,0,0,60,,,45.0,46.0,60.5,84.5,50,56.27,False,Smart Contract Platform|Layer 1 (L1)|Cardano Ecosystem|Proof of Stake (PoS)|GMCI Layer 1 Index
ERAUSDT,ERA,Speculative,,0.1384,561222.46175,-2.26,61.49187062355927,0.0022248010848963285,0.13322599999999998,0.221798,0.46637470281420734,0.4612299465240642,0.38012477718360066,1.072127705392541,0.6798643545469117,0.12422777777777777,0.19685555555555556,rsi_bearish_divergence|double_bottom_90d,1,1,mixte,276,0,0,30,,,14.6,75.0,79.0,57.5,50.0,56.26,False,
TFUELUSDT,TFUEL,Mid,313,0.01217,867432.45461,0.165,56.75719393547053,0.00017694508157889926,0.0122782,0.0185793,0.445140775791871,0.43238993710691825,0.36163522012578614,3.4834605428495267,0.7689680951032398,0.011240277777777778,0.01757861111111111,,0,0,neutre,365,0,0,60,,,31.0,64.0,71.0,63.5,50,56.25,False,Artificial Intelligence (AI)|Smart Contract Platform|DePIN|Proof of Stake (PoS)|Made in USA
JUVUSDT,JUV,Speculative,,0.537,2612480.09062,-0.186,59.812955193844886,0.00627063961048663,0.54184,0.695295,0.2983854285770947,0.34805890227576974,0.27576974564926365,5.945536262477242,0.6796485790387082,0.5003888888888889,0.6931944444444444,,0,0,neutre,365,0,0,30,,,17.0,64.0,83.5,68.0,50,56.23,False,
PORTALUSDT,PORTAL,Speculative,,0.01203,21007259.781819,25.182,70.72518276943383,0.0003751427268259235,0.0104694,0.0188068,0.9554785128034211,0.6019900497512438,0.41044776119402987,50.88387854177219,0.5556461241765058,0.008763611111111111,0.01848111111111111,downtrend,0,1,baissier,365,0,0,30,,,17.0,75.0,59.5,78.5,37.5,56.15,False,
OSMOUSDT,OSMO,Speculative,747,0.0337,485592.407869,-2.035,60.10025009456057,0.0004475046032281146,0.03234,0.065648,0.4302853220484371,0.4682395644283122,0.3883847549909256,2.695336830550006,0.8701164507721282,0.030544444444444444,0.04841944444444444,,0,0,neutre,365,0,0,30,,,17.0,84.0,71.0,47.0,50,56.15,False,Decentralized Exchange (DEX)|Exchange-based Tokens|Decentralized Finance (DeFi)|Automated Market Maker (AMM)|Cosmos Ecosystem
PUNDIXUSDT,PUNDIX,Speculative,548,0.1529,297882.15785,-2.549,57.19523929047093,0.0015391244402914099,0.149006,0.2230115,0.41227492545725225,0.41780238500851796,0.3445485519591141,1.5034796148148535,0.8372421335946184,0.1429888888888889,0.20715833333333333,doji_4h,0,0,neutre,365,0,0,30,,,17.0,84.0,71.0,47.0,50,56.15,False,Decentralized Finance (DeFi)|Wallets|Ethereum Ecosystem|Pundi AIFX Omnilayer Ecosystem
SFPUSDT,SFP,Mid,210,0.3096,273700.8439,-1.023,58.88559528149273,0.0012776671938880104,0.28663,0.329429,0.46991382571511225,0.37432327919566905,0.20417633410672864,0.734093637454982,0.7227353808660283,0.256325,0.34288888888888885,macd_bullish_cross|resistance_test|uptrend,2,1,haussier,365,0,0,30,,,31.0,66.0,75.5,47.0,62.5,56.1,False,BNB Chain Ecosystem|Wallets|Ethereum Ecosystem|Animoca Brands Portfolio|Binance Launchpad
AUCTIONUSDT,AUCTION,Speculative,588,4.88,1287792.631,-2.789,56.95405446941012,0.03788683951488074,4.7336,5.58885,0.3964202115474008,0.47919143876337694,0.4161712247324614,1.1242521427119632,0.29150136973490326,4.517777777777778,5.7941666666666665,downtrend,0,1,baissier,365,0,0,30,,,17.0,75.0,73.0,68.0,37.5,56.07,False,Decentralized Finance (DeFi)|Launchpad|Ethereum Ecosystem|DWF Labs Portfolio|Coinbase Ventures Portfolio
SUNUSDT,SUN,Mid,128,0.01848,510631.84978,-0.752,59.95972475777509,7.291573999446577e-05,0.0171766,0.0198132,0.4293609074332942,0.28793590951932135,0.12629594721960408,0.3582992344905209,0.41288515513194013,0.015942777777777778,0.019713333333333333,,0,0,neutre,365,0,0,60,,,31.0,57.0,83.5,63.5,50,56.02,False,Decentralized Finance (DeFi)|Tron Ecosystem|Made in China
BOMEUSDT,BOME,Speculative,596,0.000502,2750780.459619,-8.561,61.96740086528671,1.6561855797295957e-05,0.00041326000000000004,0.0006765100000000001,1.2682519805036747,0.39999999999999997,0.16557377049180322,2.1304657783871104,0.7401438133523766,0.0003713333333333333,0.0005641111111111111,double_bottom_90d|resistance_test|downtrend|doji_4h,1,2,baissier,365,0,0,30,,,17.0,84.0,54.5,68.0,37.5,56.0,False,Solana Ecosystem|Meme|Frog-Themed|Solana Meme|GMCI Meme Index
IMXUSDT,IMX,Mid,223,0.1649,879896.109487,-4.682,61.01614156075849,0.0040436683034920755,0.154004,0.28870850000000003,0.7384933149590179,0.4973584905660377,0.37132075471698117,0.7087581384859644,0.80204557755785,0.1401111111111111,0.22316944444444445,double_bottom_90d|doji_4h,1,0,haussier,365,0,0,30,,,31.0,66.0,60.5,57.5,62.5,55.95,False,Smart Contract Platform|Gaming (GameFi)|NFT|Play To Earn|Ethereum Ecosystem
OGUSDT,OG,Speculative,,3.24,4770057.948,6.16,65.99043892116808,0.07682120648739812,2.7651799999999995,8.30664,0.9069737318198647,0.5068870523415978,0.3642266824085006,2.4334514504916718,0.3732090925425897,2.5811111111111114,4.214638888888889,rsi_bearish_divergence|bullish_engulfing_4h,1,1,mixte,365,0,0,30,,,17.0,75.0,59.5,68.0,50.0,55.92,False,
JASMYUSDT,JASMY,Mid,147,0.00569,1409200.040135,-2.735,58.85455399500535,6.924839055921404e-05,0.005520199999999999,0.007323,0.5143437727105648,0.3546284224250325,0.25032594524119944,0.888822951451253,0.7923933303440082,0.005209722222222222,0.006791666666666666,double_top_90d|downtrend,0,2,baissier,365,0,0,60,,,31.0,66.0,75.5,74.0,25.0,55.88,False,Internet of Things (IOT)|Ethereum Ecosystem|DePIN|DWF Labs Portfolio|Coinbase 50 Index
CELRUSDT,CELR,Speculative,,0.002626,618882.7765161,-0.98,58.63476225761136,3.808015898339105e-05,0.00255332,0.003924225,0.6694258957990565,0.4007741935483871,0.3140645161290322,1.1202591646098201,0.7451007956663396,0.0023609444444444446,0.0033699444444444445,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,75.0,60.5,57.5,62.5,55.85,False,
BATUSDT,BAT,Mid,211,0.1013,543382.3215,-3.799,53.028748259900006,0.0009253740213684653,0.09924799999999999,0.164989,0.7877497174164296,0.5540871267743515,0.5007342143906021,0.6457197810907509,0.7076418342279364,0.09449166666666667,0.1648722222222222,double_bottom_90d|uptrend,2,0,haussier,365,0,0,30,,,31.0,66.0,47.0,57.5,75.0,55.8,False,
BLURUSDT,BLUR,Mid,373,0.02658,2776172.603488,5.812,66.39762511868989,0.0005930463496460071,0.0199858,0.032992400000000005,1.525418105807436,0.4943317422434368,0.2309069212410501,5.7877931749615135,0.5443941663393224,0.018160833333333334,0.02902972222222222,rsi_bearish_divergence|double_bottom_90d|double_top_90d,1,2,baissier,365,0,0,30,,,31.0,75.0,52.0,68.0,37.5,55.73,False,NFT|Ethereum Ecosystem|NFT Marketplace|FTX Holdings|NFTFi
SNXUSDT,SNX,Mid,281,0.302,996855.7736,-3.205,54.110008888779994,0.003336055769963202,0.30128,0.5725399999999999,0.5989064365430655,0.3758542141230068,0.30751708428246016,0.5288570755210948,0.712953658607505,0.2786666666666667,0.4106944444444445,doji_4h,0,0,neutre,365,0,0,30,,,31.0,66.0,71.0,57.5,50,55.65,False,
XTZUSDT,XTZ,Mid,120,0.3676,651519.49942,-4.495,53.22306856497201,0.00417187468755746,0.36794400000000005,0.48773099999999997,0.5624948695981892,0.44216906946264745,0.39416775884665795,0.6893672973113425,0.8196761066233391,0.3486416666666667,0.534375,,0,0,neutre,365,0,0,30,,,31.0,66.0,71.0,57.5,50,55.65,False,
DOTUSDT,DOT,Etabli,44,1.286,8804870.09223,-4.741,49.36732180278733,0.013820208999552747,1.38588,2.075705,0.616658385724451,0.4245562130177515,0.36143984220907305,0.7320904989908519,0.6733577298483646,1.2255555555555555,1.8077499999999997,macd_bullish_cross|macd_bearish_cross|downtrend,1,2,baissier,365,0,0,60,,,45.0,46.0,68.5,84.5,37.5,55.6,False,Smart Contract Platform|Polkadot Ecosystem|BNB Chain Ecosystem|Arbitrum Ecosystem|Ethereum Ecosystem
TUSDT,T,Mid,365,0.00642,418629.031494,-4.748,53.234721454376206,6.134646559760441e-05,0.0063826,0.00939835,0.519024232672386,0.38509316770186336,0.33436853002070394,1.4212128142608005,0.7803450087425535,0.006085,0.008688055555555555,double_bottom_90d|double_top_90d|downtrend,1,2,baissier,365,0,0,60,,,31.0,75.0,71.0,53.0,37.5,55.58,False,Decentralized Finance (DeFi)|Solana Ecosystem|Ethereum Ecosystem|Optimism Ecosystem|Base Ecosystem
NFPUSDT,NFP,Speculative,,0.01585,1242165.30154,4.414,62.233141612193585,0.0003046120019771879,0.014752000000000001,0.026421999999999998,0.7108237607250244,0.509469696969697,0.40189393939393947,3.4646943388049394,0.7388260273894095,0.013459722222222222,0.022488888888888888,downtrend,0,1,baissier,365,0,0,30,,,17.0,84.0,51.5,68.0,37.5,55.55,False,
ENSUSDT,ENS,Mid,164,6.03,1380357.9132,-6.221,54.7261856750828,0.07159015465972031,5.9348,10.0297,0.6240130900749122,0.4311064718162839,0.36221294363256784,0.7857721626453716,0.88438308117499,5.568888888888889,8.344166666666666,downtrend,0,1,baissier,365,0,0,60,,,31.0,66.0,60.5,74.0,37.5,55.5,False,NFT|Ethereum Ecosystem|Decentralized Identifier (DID)|Name Service|Governance
RSRUSDT,RSR,Mid,273,0.00168,1234411.3025649,-5.724,58.13764980052427,3.118840440074907e-05,0.0015884999999999999,0.0029548649999999997,0.8318727843275844,0.44091279543602285,0.30684596577017115,0.7973346232026011,0.7738223103705515,0.001437611111111111,0.0021665277777777776,double_bottom_90d|double_top_90d|downtrend,1,2,baissier,365,0,0,60,,,31.0,66.0,60.5,74.0,37.5,55.5,False,Decentralized Finance (DeFi)|Arbitrum Ecosystem|Ethereum Ecosystem|Real World Assets (RWA)|Base Ecosystem
USDCUSDT,USDC,Etabli,6,0.99955,1734035051.15681,0.014,42.33638134166952,-2.61355476072341e-05,0.9999898,1.00014095,0.0037414498490387083,0.002495259007885076,0.0023156003593172857,0.4699422734809763,-0.2307646377696605,0.9996302777777779,1.00115,resistance_test,0,1,baissier,365,0,0,60,1,1,52.3,28.0,94.0,84.5,37.5,55.49,False,Stablecoins|USD Stablecoin|Solana Ecosystem|Avalanche Ecosystem|Polygon Ecosystem
GLMRUSDT,GLMR,Speculative,,0.0142,4002220.06482,-21.978,62.42157958136464,0.0005536164475761027,0.0116,0.0242735,1.524658185463729,0.5767634854771784,0.4066390041493776,5.882131761245414,0.5646180596355562,0.010622222222222222,0.020286111111111112,,0,0,neutre,365,0,0,30,,,17.0,84.0,38.5,68.0,50,55.48,False,
PSGUSDT,PSG,Speculative,,0.882,530666.2929,-3.289,61.73062835528204,0.0015362858268154062,0.7890999999999999,0.903115,0.3428887401387066,0.270081490104773,0.046186895810956,0.8333444903979831,0.6347455544034122,0.6758333333333334,0.8863888888888889,double_top_90d|uptrend,1,1,mixte,365,0,0,30,,,17.0,66.0,88.0,57.5,50.0,55.4,False,
HEMIUSDT,HEMI,Speculative,,0.00785,2350298.527373,-2.605,55.47183376887217,0.00012727008456114042,0.0073624,0.02299755,1.4316413933304641,0.6286666666666666,0.4633333333333333,1.3888024018465441,0.4364352824750955,0.006544166666666667,0.013539444444444444,uptrend,1,0,haussier,208,0,0,30,,,12.7,75.0,49.0,68.0,62.5,55.36,False,
OPUSDT,OP,Mid,151,0.1276,3530751.21131,-5.13,58.11917780732178,0.0030664959800370895,0.11782,0.282896,0.8094519055361367,0.6808510638297873,0.5982478097622028,0.6493153755428088,0.6948942668742482,0.1084888888888889,0.274075,doji_4h,0,0,neutre,365,0,0,30,,,31.0,66.0,55.0,68.0,50,55.35,False,
WINUSDT,WIN,Speculative,,2.14e-05,480375.65813377,0.422,64.52865894729395,3.450635414326789e-07,2.0617e-05,2.941295e-05,0.4000407678831192,0.3022997032640949,0.20882789317507414,1.427323450378717,0.5422237939062102,1.9178611111111112e-05,2.5679722222222222e-05,doji_4h,0,0,neutre,365,0,0,30,,,17.0,75.0,83.5,47.0,50,55.32,False,
C98USDT,C98,Speculative,,0.0232,1836150.71257,5.455,51.31590331396158,0.00022941004118443194,0.02549,0.028992499999999997,0.7236583257582915,0.4104938271604938,0.2716049382716049,2.832797939874631,-0.08475678738331278,0.020444444444444446,0.031049999999999998,macd_bullish_cross|double_top_90d|support_bounce|downtrend|bullish_engulfing_4h,3,2,haussier,365,0,0,30,,,17.0,64.0,67.0,68.0,60.0,55.25,False,
GPSUSDT,GPS,Speculative,558,0.00929,1688546.897853,8.782,61.28684425150599,0.00016856114576389197,0.008269199999999999,0.00786195,0.8035302583574646,0.5112321307011573,0.371000680735194,0.6819427568354091,0.024367469669173875,0.00714,0.012371666666666666,downtrend,0,1,baissier,365,0,0,30,,,17.0,82.0,53.5,68.0,37.5,55.25,False,
MEMEUSDT,MEME,Speculative,602,0.000555,1140358.616213,-5.932,52.03424774860969,1.159913286728593e-05,0.0005585400000000001,0.001079805,0.9085428134730799,0.573170731707317,0.5130662020905923,1.1911151424424753,0.6274621501563401,0.0005114722222222222,0.0009874444444444444,double_bottom_90d|double_top_90d,1,1,mixte,365,0,0,30,,,17.0,75.0,55.0,68.0,50.0,55.25,False,NFT|Binance Launchpool|Meme|Ethereum Ecosystem|YZi Labs (Prev. Binance Labs) Portfolio
JOEUSDT,JOE,Speculative,,0.0465,473104.070997,-1.274,56.161556072650534,0.00012192822485557913,0.041139999999999996,0.068678,1.8279812475122306,0.4391447368421053,0.23190789473684212,2.032244001473189,0.623470692174093,0.03547777777777778,0.05466111111111111,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,84.0,52.0,47.0,62.5,55.17,False,
FLOWUSDT,FLOW,Mid,432,0.03564,1867441.6550396,-6.211,54.21659916561664,0.000900574822638374,0.035939399999999996,0.1396325,0.8414948514359836,0.6391139240506329,0.5515189873417721,1.015849099137544,0.4815274017353531,0.030256666666666668,0.06459583333333334,double_bottom_90d,1,0,haussier,365,0,0,60,,,31.0,55.0,55.0,74.0,62.5,55.12,False,Smart Contract Platform|Sports|NFT|Layer 1 (L1)|Animoca Brands Portfolio
BABYUSDT,BABY,Mid,419,0.01596,835308.03238,-2.086,68.03174527388197,0.00029044526978168816,0.013456999999999998,0.02029465,0.7603724710182093,0.40562466197944835,0.12439156300703083,0.6817281545888751,0.5963721706125817,0.011863611111111111,0.017380277777777776,double_bottom_90d,1,0,haussier,365,0,0,30,,,31.0,57.0,73.0,57.5,62.5,55.12,False,Decentralized Finance (DeFi)|LSDFi|Paradigm Portfolio|YZi Labs (Prev. Binance Labs) Portfolio|Galaxy Digital Portfolio
QNTUSDT,QNT,Etabli,67,74.49,1197442.98487,-3.933,52.47040792917732,-0.1878998453420977,70.8694,77.39399999999999,0.6494313220905442,0.31000971817298345,0.0880709426627794,0.46633798186674646,0.6509054432091743,62.52638888888888,79.21916666666667,macd_bearish_cross|double_top_90d,0,2,baissier,365,0,0,30,,,45.0,57.0,77.5,68.0,25.0,55.07,False,
ORCAUSDT,ORCA,Mid,443,0.922,438624.75237,-3.758,53.91893525935421,0.00948200971482038,0.90488,1.1564050000000001,0.6548782037906107,0.3806306306306307,0.3048048048048048,0.639128206265338,0.4349244657571875,0.7883333333333333,1.1258333333333335,uptrend|doji_4h,1,0,haussier,365,0,0,30,,,31.0,66.0,68.5,47.0,62.5,55.05,False,Decentralized Exchange (DEX)|Exchange-based Tokens|Decentralized Finance (DeFi)|Yield Farming|Automated Market Maker (AMM)
ALICEUSDT,ALICE,Speculative,,0.1952,36883554.126969,56.913,86.75015700705804,0.006412318072832006,0.11821,0.19425450000000002,1.6578113966059982,0.4266133637921188,0.0,29.994712717478965,0.2958834694958698,0.10521666666666667,0.16419722222222222,breakout_30d|uptrend,2,0,haussier,365,0,0,30,,,17.0,57.0,50.5,78.5,75.0,55.02,False,
WALUSDT,WAL,Mid,197,0.0738,1867916.90641,-0.806,50.67539776506348,0.0005650104170164005,0.075348,,0.8863204774442356,0.5238095238095237,0.47405828002842926,3.2546505892540276,0.765319516411421,0.06986666666666667,0.11654444444444444,macd_bullish_cross|macd_bearish_cross|downtrend,1,2,baissier,191,0,0,60,,,26.2,72.0,51.5,74.0,37.5,55.0,False,Infrastructure|Storage|Sui Ecosystem|Binance Alpha Spotlight
SYSUSDT,SYS,Speculative,,0.01113,693605.38371,-1.067,53.504766361677746,9.457771341850774e-05,0.011040000000000001,0.0191337,1.2299359914514756,0.5587518283764017,0.45051194539249145,4.5360620562615654,0.5952443845096905,0.010094444444444444,0.017763611111111112,macd_bullish_cross|macd_bearish_cross,1,1,mixte,365,0,0,30,,,17.0,84.0,49.0,57.5,50.0,54.95,False,
ICXUSDT,ICX,Speculative,520,0.0393,219181.50028,-2.239,59.380161296082996,0.00047640917094847175,0.03634,0.0587175,0.6379683795538258,0.42123893805309737,0.29911504424778756,0.8965007406617093,0.7779424323224388,0.03428888888888889,0.05159166666666667,double_bottom_90d|doji_4h,1,0,haussier,3133,0,0,60,,,27.0,66.0,65.0,53.0,62.5,54.93,False,Smart Contract Platform|Cross-chain Communication|Pantera Capital Portfolio|Governance
GMXUSDT,GMX,Mid,383,6.73,537053.89664,1.815,59.472063552477096,0.08590476306952555,6.4239999999999995,8.13865,0.55693018435291,0.2546174142480211,0.12401055408970982,1.167681980651513,0.7591038665225827,5.907777777777778,7.258055555555556,double_top_90d|downtrend|doji_4h,0,2,baissier,365,1,0,60,,,31.0,75.0,75.5,55.5,25.0,54.88,False,Decentralized Finance (DeFi)|Derivatives|Perpetuals|Avalanche Ecosystem|Arbitrum Ecosystem
AIXBTUSDT,AIXBT,Speculative,720,0.0271,2637775.40938,-10.561,55.58620112470066,0.0005867786041226009,0.024904000000000003,0.039722,1.2209707296225982,0.42138364779874216,0.13793103448275856,1.0,0.5978525250207832,0.019661111111111112,0.03010555555555556,double_bottom_90d|double_top_90d,1,1,mixte,365,0,0,60,,,17.0,66.0,62.5,74.0,50.0,54.88,False,Artificial Intelligence (AI)|Solana Ecosystem|Meme|Ethereum Ecosystem|Base Ecosystem
BBUSDT,BB,Speculative,,0.0261,1760133.33302,-7.447,52.92517366121958,0.0005372640964533205,0.0255,0.0647895,0.8987155643410907,0.6237623762376238,0.5643564356435644,2.1257091507157955,0.7305345008090536,0.023430555555555555,0.04707777777777778,double_top_90d|doji_4h,0,1,baissier,365,0,0,30,,,17.0,84.0,47.0,68.0,37.5,54.88,False,
ZENUSDT,ZEN,Mid,279,5.839,3470251.37175,-2.488,52.83741256077538,0.04020699287345057,5.606380000000001,9.02986,0.8872138980746068,0.5424050632911392,0.4688969258589512,0.7684231429454661,0.803124785118817,5.195833333333334,8.775916666666667,double_bottom_90d|double_top_90d,1,1,mixte,365,0,0,30,0,0,31.0,66.0,51.5,68.0,50.0,54.83,False,Zero Knowledge (ZK)|Base Ecosystem|Made in USA|Privacy Infrastructure|Base Native
GLMUSDT,GLM,Mid,232,0.1334,281303.72147,-1.984,53.79202407482834,0.0014410542327469864,0.129944,0.19172899999999998,0.4754940388709293,0.4958813838550247,0.4485172981878089,0.5979770054728644,0.7118880536574956,0.1251833333333333,0.2246611111111111,double_bottom_90d|downtrend|doji_4h,1,1,mixte,365,0,0,60,,,31.0,66.0,71.0,53.0,50.0,54.75,False,Artificial Intelligence (AI)|Ethereum Ecosystem|DePIN|Energi Ecosystem|GMCI DePIN Index
BANANAUSDT,BANANA,Speculative,,3.83,1444875.90357,-6.585,58.3108298804287,0.09057227652230058,3.7954000000000003,7.39145,0.6114254723322818,0.5023183925811436,0.40649149922720246,1.3956625844003776,0.7552391139415444,3.3402777777777777,5.932222222222222,,0,0,neutre,365,0,0,30,,,17.0,75.0,51.5,68.0,50,54.73,False,
HIVEUSDT,HIVE,Speculative,618,0.0626,423041.1866,-1.417,55.785682945212784,0.0006919624908794958,0.061342,0.096126,0.4852130713265079,0.43856143856143853,0.3736263736263735,1.187848752299441,0.7932511889206929,0.05826666666666666,0.08990555555555556,,0,0,neutre,365,0,0,60,,,17.0,75.0,71.0,53.0,50,54.65,False,Smart Contract Platform|SocialFi|Layer 1 (L1)|Gaming Blockchains
BCHUSDT,BCH,Etabli,16,445.7,5394189.9843,-2.749,48.07497658845982,2.4178284860089505,454.022,528.2655,0.45258087172421824,0.2980673108963679,0.2572475841386205,0.2811055665745937,0.779912309186433,436.775,579.5916666666667,macd_bullish_cross|downtrend,1,1,mixte,365,0,0,30,,,45.0,37.0,75.5,78.5,50.0,54.62,False,
ROSEUSDT,ROSE,Mid,316,0.01134,1377053.405714,-6.82,55.2416949189319,0.00024926369290815,0.011267000000000001,0.01466215,0.8199532819299636,0.5605214152700185,0.4622905027932961,0.41749579517592156,0.3918753861532067,0.010178333333333334,0.0183575,,0,0,neutre,365,0,0,60,,,31.0,57.0,59.5,74.0,50,54.52,False,Smart Contract Platform|BNB Chain Ecosystem|Layer 1 (L1)|Proof of Stake (PoS)|Pantera Capital Portfolio
UNIUSDT,UNI,Etabli,45,3.367,10007939.16277,-5.182,51.791706910722844,0.05078146041387639,3.5536200000000004,5.0939,0.7294664710250928,0.3995224830879427,0.3251094309590131,0.5461971827290607,0.8316277861518679,3.154361111111111,4.561916666666667,downtrend,0,1,baissier,365,0,0,60,0,0,45.0,46.0,60.5,84.5,37.5,54.4,False,Decentralized Exchange (DEX)|Exchange-based Tokens|Decentralized Finance (DeFi)|Yield Farming|Automated Market Maker (AMM)
NEXOUSDT,NEXO,Etabli,76,0.899,445114.15066,-2.389,53.94328654501762,0.0047689857689911675,0.8871000000000001,0.96467,0.344519429780552,0.30094043887147326,0.05747126436781603,0.3383244215776759,0.870785829678157,0.7926388888888889,0.9374722222222223,double_top_90d,0,1,baissier,365,0,0,60,,,45.0,57.0,80.0,53.0,37.5,54.32,False,Exchange-based Tokens|Centralized Exchange (CEX) Token|Polygon Ecosystem|Fantom Ecosystem|Ethereum Ecosystem
PENDLEUSDT,PENDLE,Mid,166,1.376,12190188.6342,-3.03,65.9112767025097,0.046015626237143885,1.19702,2.078655,1.013346832855219,0.5331491712707183,0.35267034990791907,2.2220933346824583,0.7550973865118014,1.066527777777778,1.8305833333333332,resistance_test|downtrend,0,2,baissier,365,0,0,30,,,31.0,75.0,41.0,78.5,25.0,54.3,False,
RAYUSDT,RAY,Mid,190,0.666,1597778.2709,-5.799,55.388460383259996,0.005354591626935995,0.61802,1.087385,0.7481690239423759,0.4616122840690979,0.3579654510556622,0.8878030533097987,0.7805628657176182,0.5693055555555556,0.9122777777777777,downtrend,0,1,baissier,365,0,0,30,,,31.0,66.0,60.5,68.0,37.5,54.3,False,Decentralized Exchange (DEX)|Exchange-based Tokens|Decentralized Finance (DeFi)|Yield Farming|Automated Market Maker (AMM)
YFIUSDT,YFI,Mid,305,2698.0,449432.42509,-3.193,58.108978105010024,34.3246319616855,2575.08,3545.545,0.49659180212307663,0.31827280526165286,0.22333428653131254,0.6126660711548338,0.7961639324218723,2452.6388888888887,3246.472222222222,double_bottom_90d|downtrend,1,1,mixte,365,0,0,30,,,31.0,66.0,75.5,47.0,50.0,54.23,False,Decentralized Finance (DeFi)|Yield Farming|Yield Aggregator|Yearn Ecosystem|Avalanche Ecosystem
PHBUSDT,PHB,Speculative,,0.119,4325689.5661,11.215,62.23380014300901,0.004205926675037668,0.1176,0.266005,0.8659431311281045,0.698961937716263,0.5916955017301038,8.397095854600956,0.5165583657162418,0.09402777777777778,0.22577777777777777,double_top_90d|downtrend,0,2,baissier,365,0,0,30,,,17.0,84.0,55.0,68.0,25.0,54.2,False,
