symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
KMNOUSDT,KMNO,Mid,249,0.01975,3525819.02622,9.116,62.45327299187927,0.00013846006808883245,0.0188754,0.022243600000000002,0.5686963900234548,0.46168656141701964,0.23873700423565655,8.583771447182754,0.36160856718625095,0.016169722222222224,0.022128055555555554,squeeze_breakout,1,0,haussier,365,0,0,30,,,31.0,84.0,83.5,68.0,50,77,48.84,25,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×8.6 vs médiane,,8.58,77,0,,,103809839,198171687,5238356476.75,9999957163.472729,10000000000.0,52.4,1022991397,$1.0B,-1.5
XECUSDT,XEC,Mid,209,6.66e-06,1468159.33125836,6.902,51.94421697025507,-7.147002458649157e-08,6.068800000000002e-06,7.043949999999999e-06,1.7694682812367468,0.4287369640787949,0.23825887743413512,4.091319300892837,0.1101102100211667,5.1175e-06,8.10888888888889e-06,,0,0,neutre,365,0,0,30,,,31.0,84.0,46.0,68.0,50,70,46.59,18,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×4.1 vs médiane,,4.09,70,1,,,133857451,133858931,20066026547580.0,20066257797580.0,21000000000000.0,100.0,,,
ZBTUSDT,ZBT,Speculative,512,0.1335,38605171.9466,-0.743,53.75655979599274,0.004747692927572934,0.11649199999999998,0.11036749999999987,2.4753592439856997,0.47321954090641555,0.2895156998403406,4.70344007173004,-0.058085253223714474,0.0997361111111111,0.1602944444444444,downtrend,0,1,baissier,295,0,0,30,,,15.1,100.0,46.0,78.5,25.7,69,40.09,17,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×4.7 vs médiane,,4.7,69,0,,,38818070,132146623,293749996.0,1000000000.0,1000000000.0,29.4,53461025,$53M,-0.64
STGUSDT,STG,Speculative,746,0.1581,5782195.96199,30.446,62.23358986011971,0.005527807487105008,0.15181999999999998,0.19209299999999985,1.0450426052566735,0.8163107397090683,0.7527081398947695,5.924738469187588,0.11087210783080687,0.12814166666666668,0.32839444444444443,double_bottom_90d,1,0,haussier,365,0,0,30,,,17.0,84.0,32.5,78.5,50,69,39.91,17,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×5.9 vs médiane,,5.92,69,0,,,21987209,21987209,140904829.437508,140904829.437508,1000000000.0,100.0,66007539,$66M,-0.09
COTIUSDT,COTI,Speculative,504,0.01326,5583311.62875,-12.011,56.161513298710005,0.00016136557305452192,0.009506200000000001,0.012210449999999992,2.5658478721615516,0.5277234181343771,0.23423944476576056,4.7057832166899525,0.07479946981263327,0.0076102777777777774,0.014806666666666666,,0,0,neutre,365,0,0,30,,,17.0,84.0,37.0,78.5,50,68,40.18,16,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×4.7 vs médiane,,4.71,68,0,,,39290146,39290613,2973511443.773968,2973546782.728318,4910000000.0,100.0,,,
DIAUSDT,DIA,Speculative,956,0.12,2095033.26192,6.289,55.166815868162566,0.0008915614403433695,0.109202,0.1670725000000001,1.3845679881399793,0.5416281221091582,0.44125809435707675,2.314216243036374,0.3754509381681929,0.10123055555555555,0.1900388888888889,uptrend|bullish_engulfing_4h,2,0,haussier,365,0,0,30,,,17.0,84.0,49.0,68.0,52.5,68,39.0,16,🟢 Surperforme BTC,False,False,,0,,,,68,0,,,14508116,20465407,119676104.0,168817248.0,200000000.0,70.9,,,
TRXUSDT,TRX,Etabli,8,0.3271,18010085.32446,0.061,49.26162063817169,-0.00010939944434187066,0.326506,0.31755749999999994,0.14618710114788636,0.16054313099041526,0.12912673056443022,0.19600706947500918,0.5478181208681387,0.31880833333333336,0.3591916666666667,doji_4h,0,0,neutre,365,0,0,30,,,45.0,73.0,95.5,78.5,50,67,58.2,15,🟢 Surperforme BTC,False,False,,0,,,,67,3,,Volume ×0.2 (épuisement),31020083171,31020429437,94892786186.73589,94893849836.57568,,100.0,,,
MMTUSDT,MMT,Speculative,580,0.1634,14953501.74001,-2.331,46.77858474853938,-0.004133436313078074,0.17223999999999992,0.14248799999999998,1.9204657496547899,0.3975667189952905,0.3587127158555731,5.722557955814561,0.26721514158181986,0.11423055555555554,0.20111666666666664,uptrend,1,0,haussier,277,0,0,30,,,14.6,72.0,41.5,78.5,50,67,37.64,15,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×5.7 vs médiane,,5.72,67,1,,,33419677,163745354,204095424.0,1000000000.0,1000000000.0,20.4,4034920,$4M,-13.29
ALICEUSDT,ALICE,Speculative,,0.1307,3052037.202396,10.11,59.93480739568195,0.0009501890515003289,0.12206199999999998,0.12500700000000003,0.5389814464718868,0.3500660501981506,0.224106602059358,2.845712394858866,0.40060429090045246,0.1051972222222222,0.14426388888888886,macd_bullish_cross|squeeze_breakout|downtrend,2,1,haussier,365,0,0,30,,,17.0,84.0,83.5,68.0,25.7,67,39.46,15,🟢 Surperforme BTC,False,False,,0,,,,67,0,,,,,,,,,,,
ESPUSDT,ESP,Mid,479,0.06832,3542034.85418,13.81,49.82048124050048,-0.0011975637559665468,0.068118,,1.98834089365175,0.44703100845685184,0.3785577884877694,3.688061362291833,0.30073869940049286,0.06052472222222222,0.07858805555555554,doji_4h,0,0,neutre,177,0,0,30,,,25.8,72.0,47.5,68.0,50,66,42.33,14,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×3.7 vs médiane,,3.69,66,1,,,43284027,241877427,645360398.7588809,3601379682.0,,17.9,,,
