symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d,outperf_prob_7d,bull_prob_7d_legacy,score_model,market_regime,alt_index_30d,alt_index_90d
FOGOUSDT,FOGO,Speculative,664,0.00651,348664.67133,1.402,44.02664873002279,7.268571597440662e-05,0.0076248,0.013051050000000002,1.1540930578730402,0.4034034034034034,0.3493493493493494,0.5843459842479781,0.557278963417067,0.006499722222222223,0.009660833333333334,,0,0,neutre,255,0,0,30,,,14.0,37.0,58.0,47.0,50,48.2,37.89,-4.1,≈ Neutre vs BTC,False,False,,0,,,,48.2,2,,Volume ×0.6 (épuisement),33922802,63819384,5225704662.947924,9831204664.847462,,53.2,,,,48.2,47,ml_gb+alt_blend,Altseason en formation,83.0,64.3
MUBARAKUSDT,MUBARAK,Mid,453,0.05675,38474535.094335,23.99,62.40248303838537,0.002078563359654872,0.0281196,0.016474149999999993,3.0455058416137852,0.43376557335367394,0.2812102720569539,3.865195461157858,0.1645339656516186,0.010811666666666666,0.03947111111111111,,0,0,neutre,365,0,0,30,,,31.0,100.0,46.0,78.5,50,48.1,64.95,-4.2,≈ Neutre vs BTC,False,False,,0,,,,48.1,0,,,56710952,56710952,1000000000.0,1000000000.0,1000000000.0,100.0,,,,48.1,71,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BANANAUSDT,BANANA,Speculative,,4.296,263617.746008,5.191,62.63870627442745,0.025535746897937237,3.90488,3.6160399999999995,0.5357811205636717,0.13264588704007504,0.0,0.46511888069279134,0.5050812266302751,3.115305555555555,4.127472222222221,downtrend,0,1,baissier,365,0,0,30,,,17.0,73.0,100.0,47.0,34.4,48.1,61.1,-4.2,≈ Neutre vs BTC,False,False,,0,,,,48.1,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),,,,,,,,,,48.1,64,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ACMUSDT,ACM,Speculative,,0.285,183571.2069,1.064,58.505240781306895,0.0017301604657613957,0.27734000000000003,0.3397300000000001,0.31053235172446925,0.1328903654485049,0.05315614617940204,0.35201697625683004,0.5101539935180056,0.2643055555555556,0.3023611111111111,doji_4h,0,0,neutre,365,0,0,30,,,17.0,57.0,100.0,47.0,50,48.1,56.15,-4.2,≈ Neutre vs BTC,False,False,,0,,,,48.1,2,,Volume ×0.4 (épuisement),,,,,,,,,,48.1,63,ml_gb+alt_blend,Altseason en formation,83.0,64.3
JUVUSDT,JUV,Speculative,,0.322,171600.14394,0.312,59.48070236606851,0.002731325695605037,0.31231999999999993,0.39529500000000006,0.3437614790897384,0.137313432835821,0.038805970149253764,0.33976442122888384,0.6063377341911228,0.2988333333333333,0.33433333333333326,double_bottom_90d|downtrend|doji_4h,1,1,mixte,365,0,0,30,,,17.0,57.0,100.0,47.0,43.9,48.1,55.78,-4.2,≈ Neutre vs BTC,False,False,,0,,,,48.1,4,⚠️ Surveiller,Volume ×0.3 (épuisement)|Près du plus haut 90j (résistance),,,,,,,,,,48.1,62,ml_gb+alt_blend,Altseason en formation,83.0,64.3
TOWNSUSDT,TOWNS,Speculative,,0.002186,816765.499735,4.194,54.97123718406373,4.328233904830576e-05,0.00222014,0.002698634999999999,0.9557804155787952,0.33962264150943394,0.1739622641509434,0.6332929582749336,0.2526385509398806,0.0018580555555555553,0.0025408333333333337,downtrend,0,1,baissier,365,0,0,30,,,17.0,46.0,67.0,57.5,34.4,48.1,44.03,-4.2,≈ Neutre vs BTC,False,False,,0,,,,48.1,0,,,,,,,,,,,,48.1,51,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BABYUSDT,BABY,Mid,417,0.01406,51961321.17848,8.908,65.71405323310624,0.00027257805189541287,0.011690800000000003,0.013741050000000001,0.8265136803702704,0.32541899441340777,0.020949720670391057,54.295472950381324,0.4158520611257578,0.010416666666666666,0.013653333333333333,breakout_30d|downtrend,1,1,mixte,365,0,0,30,,,31.0,75.0,77.5,78.5,39.0,48.0,62.7,-4.3,≈ Neutre vs BTC,False,False,,3,⚡ Volume ×54.3 vs médiane,,54.3,48.0,2,,Près du plus haut 90j (résistance),64671538,153809430,4621661337.98,10991879776.0,,42.0,3405470566,$3.4B,1.54,48.0,68,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ACEUSDT,ACE,Speculative,835,0.2132,9024816.34879,10.638,65.76279831916511,0.005455252461993885,0.17677400000000001,0.12279749999999996,1.4890516828759086,0.4710059171597633,0.15936883629191317,1.2488342047709184,-0.03981921060431655,0.06917500000000003,0.22672777777777778,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,82.0,56.5,78.5,58.0,48.0,57.84,-4.3,≈ Neutre vs BTC,False,False,,0,,,,48.0,0,,,23319178,30861259,110552174.0,146307870.0,147000000.0,75.6,,,,48.0,63,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BARUSDT,BAR,Speculative,,0.286,299668.7405,1.06,63.76234068227309,0.001822483768009893,0.27318000000000003,0.3598250000000004,0.2860982681147804,0.11945392491467569,0.023890784982935176,0.5683261776274119,0.5269882395824449,0.2619722222222223,0.2930555555555555,rsi_bearish_divergence|downtrend|doji_4h,0,2,baissier,365,0,0,30,,,17.0,66.0,100.0,47.0,20.6,48.0,57.7,-4.3,≈ Neutre vs BTC,False,False,,0,,,,48.0,6,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance)|Divergence RSI baissière,,,,,,,,,,48.0,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
TLMUSDT,TLM,Speculative,,0.001708,2435312.577363,11.634,66.70759615095199,3.1094328238463174e-05,0.00146428,0.0015877700000000014,0.6675850972212477,0.6033806217929369,0.4841533353456082,1.2792138676079343,0.17781671933311521,0.0012799444444444442,0.002353083333333333,breakout_30d|double_bottom_90d|downtrend|doji_4h,2,1,haussier,365,0,0,30,,,17.0,66.0,53.5,68.0,48.5,48.0,49.82,-4.3,≈ Neutre vs BTC,False,False,,0,,,,48.0,0,,,,,,,,,,,,48.0,55,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ROBOUSDT,ROBO,Speculative,866,0.00974,1071413.3402,-2.405,45.84174261064996,0.00022780079724188244,0.011765399999999997,0.017380600000000003,1.2582539194981672,0.5222222222222223,0.4304093567251462,0.5641717333275985,0.2401838426087415,0.009219166666666667,0.01565111111111111,downtrend|doji_4h,0,1,baissier,207,0,0,30,,,12.7,46.0,43.0,68.0,34.4,48.0,37.99,-4.3,≈ Neutre vs BTC,False,False,,0,,,,48.0,2,,Volume ×0.6 (épuisement),21721489,97362121,2231000000.0,10000000000.0,10000000000.0,22.3,,,,48.0,47,ml_gb+alt_blend,Altseason en formation,83.0,64.3
IOSTUSDT,IOST,Speculative,641,0.000974,967041.872449,4.283,56.6992857522719,2.1757754698530166e-06,0.0007247399999999999,0.0008767249999999992,3.846329159300193,0.616118769883351,0.47932131495228,1.965292264825746,0.1571765545999938,0.0005628055555555555,0.000977,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,17.0,84.0,32.5,57.5,68.8,47.9,51.74,-4.4,≈ Neutre vs BTC,False,False,,0,,,,47.9,0,,,35350727,35350727,36037355666.0,36037355666.0,90000000000.0,100.0,,,,47.9,65,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BBUSDT,BB,Speculative,,0.01103,1746246.707201,5.048,64.04509178737817,0.0004177714633046893,0.0098746,0.020378549999999992,1.0969806384222966,0.6344660194174757,0.4645631067961165,1.17797611795813,0.40044313613945054,0.008341666666666667,0.019334166666666666,downtrend,0,1,baissier,365,0,0,30,,,17.0,75.0,49.0,68.0,34.4,47.9,51.19,-4.4,≈ Neutre vs BTC,False,False,,0,,,,47.9,0,,,,,,,,,,,,47.9,57,ml_gb+alt_blend,Altseason en formation,83.0,64.3
RADUSDT,RAD,Speculative,,0.263,754249.0001,6.478,71.4552332895102,0.0025691653569993892,0.23674000000000006,0.23409999999999992,0.36804703204568223,0.17518248175182485,0.025547445255474473,1.6557422386412894,0.14846901427475326,0.2068055555555556,0.25063888888888886,breakout_30d|golden_cross|squeeze_breakout|downtrend,3,1,haussier,365,0,0,30,,,17.0,91.0,94.0,57.5,64.3,47.8,68.91,-4.5,≈ Neutre vs BTC,False,False,,0,,,,47.8,2,,Près du plus haut 90j (résistance),,,,,,,,,,47.8,73,ml_gb+alt_blend,Altseason en formation,83.0,64.3
JTOUSDT,JTO,Mid,149,0.5888,8257324.63297,8.976,63.70570421741966,0.017044290268046682,0.501724,0.490306,1.3107099401841724,0.48888888888888893,0.2563131313131314,1.4193022171306142,0.38428419173415157,0.42915000000000003,0.7067138888888889,,0,0,neutre,365,0,0,30,,,31.0,91.0,62.5,78.5,50,47.8,65.62,-4.5,≈ Neutre vs BTC,False,False,,0,,,,47.8,0,,,310367356,590509477,525592506.0,1000000000.0,,52.6,1251811050,$1.3B,8.31,47.8,67,ml_gb+alt_blend,Altseason en formation,83.0,64.3
TURTLEUSDT,TURTLE,Speculative,,0.0454,211843.163,3.653,60.88043628877405,0.0005175915551026574,0.042346000000000016,0.041913000000000006,0.6255924459217796,0.19658119658119658,0.032051282051282076,0.26556722255971016,0.4542039856603923,0.03387499999999999,0.04511666666666669,double_top_90d|downtrend|doji_4h,0,2,baissier,340,0,0,30,,,16.3,73.0,89.5,47.0,16.4,47.8,57.31,-4.5,≈ Neutre vs BTC,False,False,,0,,,,47.8,6,⚠️ Surveiller,Volume ×0.3 (épuisement)|Près du plus haut 90j (résistance)|Double sommet,,,,,,,,,,47.8,58,ml_gb+alt_blend,Altseason en formation,83.0,64.3
LAZIOUSDT,LAZIO,Speculative,,0.406,117924.46346,1.754,61.23773330656949,0.0032324761272806255,0.37675999999999993,0.49567999999999957,0.41950976631962617,0.18226600985221675,0.004926108374384241,0.2479791428539508,0.5512870414520487,0.34338888888888885,0.4070555555555556,rsi_bearish_divergence|downtrend|evening_star_4h,0,3,baissier,365,0,0,30,,,17.0,57.0,100.0,47.0,6.6,47.8,53.55,-4.5,≈ Neutre vs BTC,False,False,,0,,,,47.8,8,🔴 Sortie,Volume ×0.2 (épuisement)|Près du plus haut 90j (résistance)|Divergence RSI baissière,,,,,,,,,,47.8,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
CRWVBUSDT,CRWVB,Speculative,,87.02,264484.8769,-4.771,50.491420771523174,0.3912288118455875,89.7578,,0.7215800631404836,0.26866902237926976,0.18457790686779726,0.08101785898934206,,72.78500000000003,101.32384615384613,macd_bullish_cross|downtrend|doji_4h,1,1,mixte,67,0,0,30,,,8.8,45.0,63.0,47.0,42.5,47.8,40.3,-4.5,≈ Neutre vs BTC,False,False,,0,,,,47.8,2,,Volume ×0.1 (épuisement),,,,,,,,,,47.8,52,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ORCLBUSDT,ORCLB,Speculative,,137.35,438510.35455,-1.329,36.89903943204062,-1.5952900547765902,149.04580000000004,,0.5175284604042725,0.16173413232236755,0.1606946312828666,0.18693099363591037,,123.48346153846157,158.3773076923077,uptrend|shooting_star_4h,1,1,mixte,67,0,0,30,,,8.8,36.0,85.5,47.0,46.8,47.8,42.68,-4.5,≈ Neutre vs BTC,False,False,,0,,,,47.8,5,⚠️ Surveiller,Volume ×0.2 (épuisement)|Étoile filante 4h,,,,,,,,,,47.8,51,ml_gb+alt_blend,Altseason en formation,83.0,64.3
SAGAUSDT,SAGA,Speculative,,0.03389,37032083.406782,-14.656,53.37146489752107,0.0017079748376979806,0.019851999999999998,0.01960360000000001,3.7247397093065158,0.5396374458874459,0.5396374458874459,9.622196730327484,0.0836689672763293,0.012355555555555552,0.029815277777777784,golden_cross|downtrend,1,1,mixte,365,0,0,30,,,17.0,100.0,28.0,78.5,46.1,47.7,56.86,-4.6,≈ Neutre vs BTC,False,False,,3,⚡ Volume ×9.6 vs médiane,,9.62,47.7,0,,,,,,,,,,,,47.7,72,ml_gb+alt_blend,Altseason en formation,83.0,64.3
AIGENSYNUSDT,AIGENSYN,Speculative,,0.02165,868494.17645,4.388,59.690515925065114,0.00026968223036734,0.020240799999999996,,0.5596240538781596,0.4770981507823613,0.38378378378378386,0.5070849313472806,0.23582146098666998,0.019187222222222224,0.02876666666666667,rsi_bearish_divergence|downtrend,0,2,baissier,136,0,0,30,,,10.7,54.0,73.0,57.5,20.6,47.7,46.03,-4.6,≈ Neutre vs BTC,False,False,,0,,,,47.7,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Divergence RSI baissière,,,,,,,,,,47.7,51,ml_gb+alt_blend,Altseason en formation,83.0,64.3
CRDOBUSDT,CRDOB,Speculative,,208.76,391793.17448,4.427,63.58244224697842,7.534112273703428,207.6652,,1.0202826989407285,0.46931790112565724,0.26557041532869896,0.11719950793569643,,160.6852380952381,263.0152380952381,evening_star_4h,0,1,baissier,53,0,0,30,,,8.5,45.0,52.5,47.0,36.0,47.7,37.28,-4.6,≈ Neutre vs BTC,False,False,,0,,,,47.7,4,⚠️ Surveiller,Volume ×0.1 (épuisement)|Étoile du soir 4h,,,,,,,,,,47.7,49,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BANKUSDT,BANK,Speculative,771,0.0344,2017946.44579,-1.149,49.154733386769465,0.0013994696366151057,0.03446999999999998,0.05036949999999999,1.3218502122178801,0.9288912299183565,0.909402159599684,0.24794440055394654,0.012141550668765278,0.030444444444444448,0.19532222222222223,doji_4h,0,0,neutre,318,0,0,30,,,15.7,37.0,32.5,68.0,50,47.7,33.84,-4.6,≈ Neutre vs BTC,False,False,,0,,,,47.7,2,,Volume ×0.2 (épuisement),26679737,72202256,775979167.000438,2100000000.0,2100000000.0,37.0,506998833,$507M,3.52,47.7,46,ml_gb+alt_blend,Altseason en formation,83.0,64.3
PORTOUSDT,PORTO,Speculative,,0.47,197779.87215,0.642,57.80916311704468,0.0017561668565492182,0.4507599999999999,0.6546499999999998,0.37937153389974304,0.3133116883116883,0.23538961038961043,0.40419947259478095,0.35007730276902105,0.4206944444444444,0.4985555555555556,rsi_bearish_divergence|downtrend,0,2,baissier,365,0,0,30,,,17.0,57.0,83.5,47.0,20.6,47.6,50.4,-4.7,≈ Neutre vs BTC,False,False,,0,,,,47.6,4,⚠️ Surveiller,Volume ×0.4 (épuisement)|Divergence RSI baissière,,,,,,,,,,47.6,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
AAOIBUSDT,AAOIB,Speculative,,101.21,358070.65897,-1.738,44.491006511652266,0.3313784053556237,114.15460000000002,,0.595586448977584,0.38566289825282635,0.34956320657759504,0.09175564600448609,,93.82241379310345,141.19655172413792,downtrend,0,1,baissier,74,0,0,30,,,9.0,36.0,69.0,47.0,34.4,47.6,38.0,-4.7,≈ Neutre vs BTC,False,False,,0,,,,47.6,2,,Volume ×0.1 (épuisement),,,,,,,,,,47.6,45,ml_gb+alt_blend,Altseason en formation,83.0,64.3
PYPLBUSDT,PYPLB,Speculative,,55.25,154215.6357,4.859,55.01737358888679,0.4029714465422698,56.645200000000024,,0.5859096047254901,0.18367027111737969,0.13446168312176782,0.08319738010524079,,52.26499999999999,62.199999999999996,doji_4h,0,0,neutre,60,0,0,30,,,8.6,45.0,85.5,47.0,50,47.5,46.14,-4.8,≈ Neutre vs BTC,False,False,,0,,,,47.5,2,,Volume ×0.1 (épuisement),,,,,,,,,,47.5,57,ml_gb+alt_blend,Altseason en formation,83.0,64.3
SOPHUSDT,SOPH,Speculative,944,0.00394,633640.10452,2.338,47.53412994253131,-5.497344652445476e-05,0.0039926,0.0061762999999999965,1.9055139197031097,0.37796610169491524,0.3305084745762711,1.1153430658255372,0.2008779236740807,0.0035913888888888888,0.005248611111111112,downtrend,0,1,baissier,365,0,0,30,,,17.0,55.0,41.5,57.5,34.4,47.3,41.18,-5.0,🔴 Sous-performe BTC,False,False,,0,,,,47.3,1,,,18858251,39452408,4780000000.0,10000000000.0,10000000000.0,47.8,,,,47.3,49,ml_gb+alt_blend,Altseason en formation,83.0,64.3
TUTUSDT,TUT,Speculative,886,0.02532,3617146.52754,-1.593,48.68907757831442,0.001332058744955498,0.03897000000000002,0.018517349999999995,1.693324684178685,0.9059273232724385,0.8743546465448769,0.2538251840689242,0.08762869190897841,0.01119861111111111,0.07076083333333333,,0,0,neutre,365,0,0,30,,,17.0,45.0,22.0,68.0,50,47.3,34.57,-5.0,🔴 Sous-performe BTC,False,False,,0,,,,47.3,2,,Volume ×0.3 (épuisement),21047800,21047800,831000588.8171057,831000588.8171057,1000000000.0,100.0,,,,47.3,47,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ONEUSDT,ONE,Mid,350,0.002356,7848082.5227547,-4.962,56.27916270200419,2.944265951815815e-05,0.00123148,0.00166747,3.7137301998881647,0.536231884057971,0.4475721323011964,2.6118048327880614,0.16947047359437725,0.0006976388888888888,0.0022608055555555554,doji_4h,0,0,neutre,365,0,0,30,,,31.0,84.0,32.5,78.5,50,47.1,55.8,-5.2,🔴 Sous-performe BTC,False,False,,0,,,,47.1,0,,,79343676,150242833,520299067.2445459,985222889.9974294,1000000000.0,52.8,,,,47.1,64,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ZKCUSDT,ZKC,Speculative,,0.0451,764916.93027,6.118,54.34787326350932,0.00010810712215232393,0.042824,0.05616650000000001,1.8036518250163498,0.36920529801324503,0.2533112582781457,1.2126052274636132,0.31266625412896104,0.037325000000000004,0.05039722222222223,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,75.0,52.0,57.5,58.0,47.1,52.5,-5.2,🔴 Sous-performe BTC,False,False,,0,,,,47.1,0,,,,,,,,,,,,47.1,63,ml_gb+alt_blend,Altseason en formation,83.0,64.3
RVNUSDT,RVN,Speculative,587,0.00244,608538.7546416,-0.408,46.16486146972647,4.950000455597968e-05,0.0027992199999999994,0.004392654999999999,1.162782713733709,0.4839506172839506,0.39753086419753086,1.082611350146058,0.49069626668970245,0.002294666666666666,0.0038986111111111114,macd_bullish_cross|downtrend|doji_4h,1,1,mixte,365,0,0,30,,,17.0,55.0,58.0,57.5,42.5,47.1,45.65,-5.2,🔴 Sous-performe BTC,False,False,,0,,,,47.1,0,,,40300592,40300785,16477671035.61267,16477868535.61267,21000000000.0,100.0,,,,47.1,54,ml_gb+alt_blend,Altseason en formation,83.0,64.3
