symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d,outperf_prob_7d,bull_prob_7d_legacy,score_model,market_regime,alt_index_30d,alt_index_90d
RENDERUSDT,RENDER,Etabli,78,1.992,8958915.92273,1.374,72.96351852472984,0.05086711269477384,1.4691400000000001,1.6637999999999997,0.8267168888002322,0.22387136672850966,0.0,1.2454272765173782,0.7226512110727412,1.293166666666667,1.6868055555555557,rsi_bearish_divergence|downtrend,0,2,baissier,365,0,0,30,,,45.0,66.0,81.5,78.5,20.6,57.0,62.76,4.7,≈ Neutre vs BTC,False,False,,0,,,,57.0,6,⚠️ Surveiller,RSI 73 (surachat)|Près du plus haut 90j (résistance)|Divergence RSI baissière,1035853543,1065325551,518776241.28269154,533536414.5626915,644245094.0,97.2,,,,57.0,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ENSUSDT,ENS,Mid,155,7.12,1561324.5934,-1.657,69.01600395770662,0.09933783347355174,5.517799999999999,5.426500000000001,0.7888968913740811,0.1684665226781857,0.008344923504867941,0.4964604184444386,0.7124493820739946,4.040555555555555,6.435000000000001,golden_cross,1,0,haussier,365,0,0,30,,,31.0,64.0,81.5,68.0,61.7,55.9,60.14,3.6,≈ Neutre vs BTC,False,False,,0,,,,55.9,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),300717609,713020372,42175177.73143091,100000000.0,100000000.0,42.2,,,,55.9,62,ml_gb+alt_blend,Altseason en formation,83.0,64.3
LINKUSDT,LINK,Etabli,13,14.29,59787932.28398,1.405,69.2713173214747,0.18406822808887463,11.24458,9.361775000000002,0.7695414685369668,0.1772840625708456,0.0,0.8201335354720635,0.7425155230670288,7.800416666666668,12.636555555555557,,0,0,neutre,365,0,0,30,,,45.0,73.0,81.5,78.5,50,55.8,67.1,3.5,≈ Neutre vs BTC,False,False,,0,,,,55.8,2,,Près du plus haut 90j (résistance),10666942431,14258712542,748099970.424884,1000000000.0,1000000000.0,74.8,,,,55.8,62,ml_gb+alt_blend,Altseason en formation,83.0,64.3
WIFUSDT,WIF,Mid,168,0.2496,3858472.065986,2.463,64.37647558693513,0.004521309764053863,0.19044999999999998,0.17945249999999993,1.1502012121367875,0.256986301369863,0.021534847298355538,0.5807611532050388,0.7547119948352659,0.13850833333333334,0.22540555555555553,downtrend,0,1,baissier,365,0,0,30,,,31.0,82.0,59.0,68.0,34.4,55.6,59.69,3.3,≈ Neutre vs BTC,False,False,,0,,,,55.6,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),249539742,249539742,998926392.0,998926392.0,998926392.0,100.0,,,,55.6,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
SOLUSDT,SOL,Etabli,7,121.25,380959147.31523,0.265,67.96200276689143,1.140315649230315,97.73599999999999,84.82444999999996,0.6655077579041022,0.12618411464658733,0.007286123618501846,0.5076096775429381,0.8286578677019877,73.4013888888889,110.35861111111112,downtrend,0,1,baissier,365,0,0,30,,,45.0,73.0,81.5,78.5,34.4,55.4,66.16,3.1,≈ Neutre vs BTC,False,False,,0,,,,55.4,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),71242342272,76945882992,587712781.3442552,634763981.6589092,,92.6,,,,55.4,58,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BNSOLUSDT,BNSOL,Speculative,,137.3,794999.4184,0.439,68.15176713467591,1.2884762961048972,110.31000000000002,94.76199999999996,0.6636558247658492,0.12052117263843642,0.00724112961622013,0.3960089333483111,0.8338105578557097,82.43055555555554,124.98611111111111,,0,0,neutre,365,0,0,30,,,17.0,64.0,81.5,57.5,50,55.2,55.09,2.9,≈ Neutre vs BTC,False,False,,0,,,,55.2,4,⚠️ Surveiller,Volume ×0.4 (épuisement)|Près du plus haut 90j (résistance),,,,,,,,,,55.2,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
KAIAUSDT,KAIA,Mid,182,0.0346,665029.80241,-1.425,68.23869961142589,0.000568834840569857,0.02930999999999999,0.0390005,0.704879563010203,0.38781163434903043,0.038781163434903,0.44126292017751945,0.7130815347277768,0.025399999999999995,0.03514166666666667,downtrend|doji_4h,0,1,baissier,365,0,0,30,,,31.0,48.0,69.5,57.5,34.4,55.2,48.88,2.9,≈ Neutre vs BTC,False,False,,0,,,,55.2,4,⚠️ Surveiller,Volume ×0.4 (épuisement)|Près du plus haut 90j (résistance),223445384,223446930,6429001073.466644,6429093437.355023,,100.0,,,,55.2,49,ml_gb+alt_blend,Altseason en formation,83.0,64.3
AXLUSDT,AXL,Mid,404,0.0535,425083.006118,1.134,67.61783557651677,0.0006970265029372581,0.042565999999999986,0.04820450000000002,0.7464189137113356,0.20273348519362183,0.007407407407407363,0.6510547412662796,0.7114764538705965,0.03614444444444445,0.048266666666666666,,0,0,neutre,365,0,0,30,,,31.0,57.0,81.5,47.0,50,55.1,55.19,2.8,≈ Neutre vs BTC,False,False,,0,,,,55.1,2,,Près du plus haut 90j (résistance),66659621,67250276,1244434333.4010599,1255471294.356708,,99.1,154113006,$154M,1.95,55.1,57,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ETCUSDT,ETC,Etabli,63,9.55,6851809.6905,-1.036,67.16287272801137,0.15511754789338678,7.554799999999999,7.809549999999997,0.8179731455368988,0.1658932714617168,0.0,1.2161282045087023,0.6981736429960622,6.358333333333333,8.538055555555555,rsi_bearish_divergence,0,1,baissier,365,0,0,30,,,45.0,66.0,89.5,78.5,36.2,54.9,65.63,2.6,≈ Neutre vs BTC,False,False,,0,,,,54.9,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,1514255065,1514255065,158288790.7027552,158289223.9571552,210700000.0,100.0,,,,54.9,58,ml_gb+alt_blend,Altseason en formation,83.0,64.3
PEPEUSDT,PEPE,Etabli,56,4.41e-06,33076952.08082549,-3.712,60.21050555507698,6.583062489080215e-08,3.5367999999999997e-06,3.3324500000000006e-06,1.100024002937698,0.21359223300970884,0.11823647294589168,0.36854702499463443,0.7552253588657337,2.5555555555555553e-06,4.174166666666666e-06,downtrend,0,1,baissier,365,0,0,30,,,45.0,73.0,66.5,78.5,34.4,54.6,62.54,2.3,≈ Neutre vs BTC,False,False,,0,,,,54.6,2,,Volume ×0.4 (épuisement),1855005611,1855005611,420690000000000.0,420690000000000.0,420690000000000.0,100.0,,,,54.6,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
HBARUSDT,HBAR,Etabli,31,0.09407,13764311.30903,-1.714,64.987733951065,0.0015570669626790283,0.07690200000000001,0.08153810000000002,0.703611758314303,0.16353991460732306,0.050454086781029174,0.5395550247388158,0.677312932109107,0.06629444444444445,0.08537916666666666,downtrend,0,1,baissier,365,0,0,30,,,45.0,66.0,89.5,78.5,34.4,54.5,65.52,2.2,≈ Neutre vs BTC,False,False,,0,,,,54.5,2,,Volume ×0.5 (épuisement),4125111184,4705624675,43831706398.47965,50000000000.0,50000000000.0,87.7,,,,54.5,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
WOOUSDT,WOO,Speculative,799,0.01344,194080.919826,3.067,66.31178431933867,0.00024366837199936873,0.0114486,0.014476500000000002,0.7142589374705829,0.20092024539877293,0.0,0.5633034728595336,0.7358138677916735,0.010575555555555555,0.012935277777777776,uptrend,1,0,haussier,365,0,0,30,,,17.0,57.0,81.5,47.0,60.8,54.0,52.33,1.7,≈ Neutre vs BTC,False,False,,0,,,,54.0,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),25412046,25412046,1888782088.2947378,1888782088.294737,3000000000.0,100.0,4116756,$4M,1.16,54.0,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
POLYXUSDT,POLYX,Mid,436,0.0459,1029251.32297,2.227,69.63377267511068,0.0005428406558353718,0.035688,0.04172800000000001,0.6690414585355907,0.2650918635170604,0.0,2.586824293672313,0.6790450926256616,0.03057222222222223,0.04123611111111111,rsi_bearish_divergence|uptrend|doji_4h,1,1,mixte,365,0,0,30,,,31.0,75.0,77.5,68.0,47.0,53.8,62.34,1.5,≈ Neutre vs BTC,False,False,,0,,,,53.8,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,60812665,60812665,1322409659.408604,1322409659.408604,,100.0,,,,53.8,65,ml_gb+alt_blend,Altseason en formation,83.0,64.3
NEOUSDT,NEO,Mid,199,2.69,775778.89693,1.509,68.52330722567756,0.03920626067226095,2.1088,2.3779750000000006,0.6840382091503276,0.19475473530840223,0.004442798963346912,0.6673021789419207,0.6984348242614801,1.7596388888888892,2.385166666666667,uptrend,1,0,haussier,365,0,0,30,,,31.0,57.0,89.5,57.5,60.8,53.6,58.6,1.3,≈ Neutre vs BTC,False,False,,0,,,,53.6,2,,Près du plus haut 90j (résistance),189640001,268878493,70530000.0,100000000.0,,70.5,,,,53.6,61,ml_gb+alt_blend,Altseason en formation,83.0,64.3
PENGUUSDT,PENGU,Etabli,98,0.01015,15609209.966843,1.419,68.67238396106124,0.0002928978687584252,0.007967179999999997,0.007464620000000002,0.9393511486684969,0.30756794988380315,0.012444098775033993,0.5529215338726113,0.6989978359734604,0.0059177222222222235,0.009449666666666667,,0,0,neutre,365,0,0,30,,,45.0,73.0,77.5,78.5,50,53.5,66.13,1.2,≈ Neutre vs BTC,False,False,,4,🔥 Trending #4 sur CoinGecko,4,,53.5,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),640271738,781468865,62860396090.0,76722802826.70506,88888888888.0,81.9,,,,53.5,67,ml_gb+alt_blend,Altseason en formation,83.0,64.3
AAVEUSDT,AAVE,Etabli,46,154.23,29911461.76956,3.817,66.50624328775314,1.6286338259704554,120.84479999999998,98.88170000000002,0.7351454938307287,0.15504204649848066,0.0,0.4417656354903501,0.6965119546020065,87.25777777777778,139.47944444444443,rsi_bearish_divergence|downtrend,0,2,baissier,365,0,0,30,,,45.0,64.0,89.5,78.5,20.6,53.5,63.96,1.2,≈ Neutre vs BTC,False,False,,0,,,,53.5,6,⚠️ Surveiller,Volume ×0.4 (épuisement)|Près du plus haut 90j (résistance)|Divergence RSI baissière,2380501842,2468553711,15429289.348339379,16000000.0,16000000.0,96.4,18191959139,$18.2B,0.8,53.5,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
IOTAUSDT,IOTA,Mid,173,0.0507,952429.6243,2.012,66.01439100072596,0.0006728567992338266,0.040664,0.0476965,0.8635885367486529,0.19493670886075945,0.003929273084479348,0.5714477133003912,0.7205590303439795,0.03277500000000001,0.046172222222222205,downtrend|doji_4h,0,1,baissier,365,0,0,30,,,31.0,57.0,81.5,57.5,34.4,53.5,55.09,1.2,≈ Neutre vs BTC,False,False,,0,,,,53.5,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),236134521,253072616,4656320085.0,4990321183.0,,93.3,,,,53.5,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
XRPUSDT,XRP,Etabli,5,1.5464,420432155.64787,-3.235,61.750671112610334,0.014236578794058978,1.3203299999999996,1.2780249999999997,0.753302689631885,0.1559458037358589,0.01653207859095824,0.6935149207847165,0.8697028800475828,1.0213444444444442,1.4950333333333334,golden_cross,1,0,haussier,365,0,0,30,,,45.0,82.0,81.5,78.5,61.7,53.4,71.11,1.1,≈ Neutre vs BTC,False,False,,0,,,,53.4,2,,Près du plus haut 90j (résistance),97204358127,154566799648,62879209849.0,99985622230.0,100000000000.0,62.9,,,,53.4,70,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ADAUSDT,ADA,Etabli,17,0.2571,60091341.88372,0.548,66.81386957624427,0.0041702468115553115,0.20937000000000006,0.21415049999999985,0.8035907513475546,0.19042663891779407,0.0069551777434310996,0.7396781862330404,0.7565603492685071,0.15929166666666666,0.23293611111111107,resistance_test,0,1,baissier,365,0,0,30,,,45.0,57.0,81.5,78.5,37.8,53.4,60.48,1.1,≈ Neutre vs BTC,False,False,,0,,,,53.4,2,,Près du plus haut 90j (résistance),9666228070,11590491212,37529061988.535576,45000000000.0,45000000000.0,83.4,,,,53.4,54,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BNTUSDT,BNT,Speculative,646,0.3513,145157.50713,0.228,66.16860216370154,0.0029291462594330797,0.30851599999999996,0.2973809999999999,0.49210990487803086,0.10299401197604802,0.0,0.877838689391004,0.8503357055226622,0.2594805555555556,0.333475,rsi_bearish_divergence|doji_4h,0,1,baissier,365,0,0,30,,,17.0,73.0,92.0,47.0,36.2,53.3,59.28,1.0,≈ Neutre vs BTC,False,False,,0,,,,53.3,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,34916033,34916033,99496744.65787666,99496744.65787666,110542364.6372305,100.0,17762496,$18M,5.91,53.3,60,ml_gb+alt_blend,Altseason en formation,83.0,64.3
AVAXUSDT,AVAX,Etabli,27,10.951,48524946.02578,3.224,71.2106766471747,0.21408692670593843,7.771319999999998,8.04278,1.0281171565719043,0.11150975889781863,0.0287280120215682,0.9965489735893641,0.514247455929535,6.310055555555554,9.043805555555556,uptrend,1,0,haussier,365,0,0,30,,,45.0,57.0,79.0,78.5,60.8,53.3,61.26,1.0,≈ Neutre vs BTC,False,False,,0,,,,53.3,2,,Près du plus haut 90j (résistance),4835147106,5126174360,443072294.79658496,469741094.7965849,720000000.0,94.3,138925213,$139M,1.79,53.3,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
MSTRBUSDT,MSTRB,Mid,446,159.4,6322686.14686,-2.87,63.331800346789144,0.9770565876417976,127.91080000000002,,0.9804904211665559,0.15291825183260638,0.05947604437101714,0.2469038420607627,0.8188297062320681,91.77166666666666,150.07916666666668,uptrend,1,0,haussier,96,0,0,30,,,23.6,45.0,81.5,78.5,60.8,53.3,52.09,1.0,≈ Neutre vs BTC,False,False,,0,,,,53.3,2,,Volume ×0.2 (épuisement),58111337,58111337,365333.003289,365333.003289,,100.0,,,,53.3,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ALGOUSDT,ALGO,Etabli,77,0.118,4565899.6743,0.941,68.49539209349174,0.0018482227706592387,0.09251000000000004,0.09726999999999993,0.8013515555879461,0.14835164835164832,0.0,0.6248648145768845,0.5829749717816933,0.07961388888888891,0.10346666666666668,rsi_bearish_divergence|double_bottom_90d|doji_4h,1,1,mixte,365,0,0,30,,,45.0,57.0,89.5,68.0,45.7,53.0,62.05,0.7,≈ Neutre vs BTC,False,False,,0,,,,53.0,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,1068037996,1068053325,9057191179.647024,9057335647.73321,10000000000.0,100.0,,,,53.0,57,ml_gb+alt_blend,Altseason en formation,83.0,64.3
DOGEUSDT,DOGE,Etabli,12,0.09762,94885720.9163,-0.57,61.73012186048893,0.0011059713418106222,0.08367359999999997,0.0879302,0.8068031412897515,0.1427959751659174,0.028275587415372314,0.5682931737117052,0.8055877873075805,0.06939416666666667,0.0930738888888889,downtrend,0,1,baissier,365,0,0,30,,,45.0,66.0,81.5,78.5,34.4,52.9,63.59,0.6,≈ Neutre vs BTC,False,False,,0,,,,52.9,4,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance),15225634393,15225583665,156074546383.70523,171787123126.579,,90.9,,,,52.9,59,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BERAUSDT,BERA,Mid,341,0.2407,1119688.1542358,2.469,68.73049563459182,0.003931947502938602,0.18131999999999998,0.2927555000000001,0.8613204284407471,0.3529680365296804,0.0,0.6229567646618986,0.6228694099461148,0.14998333333333339,0.21850000000000006,rsi_bearish_divergence,0,1,baissier,365,0,0,30,,,31.0,57.0,77.5,68.0,36.2,52.9,55.07,0.6,≈ Neutre vs BTC,False,False,,0,,,,52.9,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,80864525,135324657,335252739.1814127,561045794.7369683,,59.8,,,,52.9,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
VIRTUALUSDT,VIRTUAL,Mid,112,0.7868,7845877.29218,-1.069,63.93385529217013,0.015855849454479543,0.661064,0.6607160000000001,0.8502924776330439,0.2624747983870967,0.011161274140958138,0.6950251219250169,0.6846098877316075,0.5416083333333332,0.7399805555555556,golden_cross|downtrend,1,1,mixte,365,0,0,30,,,31.0,82.0,77.5,78.5,46.1,52.8,65.7,0.5,≈ Neutre vs BTC,False,False,,0,,,,52.8,2,,Près du plus haut 90j (résistance),519152273,788522839,658385841.8252224,1000000000.0,1000000000.0,65.8,,,,52.8,66,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ZRXUSDT,ZRX,Mid,276,0.1285,197363.9394,3.213,71.19483786180507,0.0010031970414752052,0.09894,0.09786050000000004,0.6210578670463733,0.18804347826086953,0.0,0.3479210451419133,0.5745513774656592,0.0775861111111111,0.11408888888888888,rsi_bearish_divergence|golden_cross|uptrend,2,1,haussier,365,0,0,30,,,31.0,64.0,89.5,47.0,58.6,52.4,60.21,0.1,≈ Neutre vs BTC,False,False,,0,,,,52.4,6,⚠️ Surveiller,Volume ×0.3 (épuisement)|Près du plus haut 90j (résistance)|Divergence RSI baissière,108650615,128065836,848396562.906836,1000000000.0,1000000000.0,84.8,,,,52.4,63,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BTCUSDT,BTC,Etabli,1,84175.99,1110800985.578555,-0.498,64.48712630776856,291.4404337969768,75733.95000000001,71036.49124999998,0.4271897723107403,0.0692243679953715,0.028215308242899962,0.2345856780163369,1.0,61956.416666666664,81789.13583333333,,0,0,neutre,365,0,0,30,,,45.0,73.0,86.0,78.5,50,52.3,68.19,0.0,≈ Neutre vs BTC,False,False,,0,🔥 Trending #14 sur CoinGecko,14,,52.3,4,⚠️ Surveiller,Volume ×0.2 (épuisement)|Près du plus haut 90j (résistance),1690307183155,1690307183155,20089568.0,20089609.0,21000000.0,100.0,,,,52.3,66,ml_gb+alt_blend,Altseason en formation,83.0,64.3
XLMUSDT,XLM,Etabli,20,0.2184,28609536.1609,-2.282,63.82170084662426,0.003095040898647699,0.18272400000000005,0.17852150000000003,0.7772751157549764,0.25060474117077886,0.008620689655172471,0.5255351573313286,0.7146384566037357,0.16202499999999997,0.20604999999999998,resistance_test|doji_4h,0,1,baissier,365,0,0,30,,,45.0,82.0,69.5,78.5,37.8,52.1,66.78,-0.2,≈ Neutre vs BTC,False,False,,0,,,,52.1,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),7645535462,10931895635,34970186984.801575,50001786839.70047,,69.9,,,,52.1,63,ml_gb+alt_blend,Altseason en formation,83.0,64.3
FLOKIUSDT,FLOKI,Mid,161,2.883e-05,2220916.42831454,-0.139,60.78371961320608,3.399688625377888e-07,2.4649599999999995e-05,2.6485100000000005e-05,0.8478774809313153,0.2005494505494505,0.04947229551451195,0.45705996000554583,0.7550410158606105,2.0374722222222224e-05,2.761361111111111e-05,downtrend,0,1,baissier,365,0,0,30,,,31.0,57.0,81.5,68.0,34.4,52.1,55.93,-0.2,≈ Neutre vs BTC,False,False,,0,,,,52.1,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),277991572,159741750,9643433004213.777,9643433004213.777,20000000000000.0,100.0,13659641,$14M,3.52,52.1,56,ml_gb+alt_blend,Altseason en formation,83.0,64.3
BATUSDT,BAT,Mid,238,0.0947,382943.9472,3.384,70.65904633502274,0.0016043132356747276,0.071698,0.08766449999999992,0.762259904332833,0.3734806629834254,0.0,0.5914287044302872,0.6042472016846642,0.06237500000000001,0.08683055555555555,rsi_bearish_divergence|doji_4h,0,1,baissier,365,0,0,30,,,31.0,57.0,77.5,47.0,36.2,52.1,53.39,-0.2,≈ Neutre vs BTC,False,False,,0,,,,52.1,6,⚠️ Surveiller,Volume ×0.6 (épuisement)|Près du plus haut 90j (résistance)|Divergence RSI baissière,141559946,141964577,1495724656.9526057,1500000000.0,1500000000.0,99.7,,,,52.1,53,ml_gb+alt_blend,Altseason en formation,83.0,64.3
TUSDT,T,Mid,422,0.00565,796985.370108,2.17,71.08393307030772,7.484180420979161e-05,0.0041795999999999995,0.004789750000000002,1.679069023363603,0.4000000000000001,0.0,1.0189700611505237,0.13388805875371015,0.0033338888888888893,0.005238333333333334,double_top_90d,0,1,baissier,365,0,0,30,,,31.0,66.0,50.5,57.5,32.0,52.1,50.77,-0.2,≈ Neutre vs BTC,False,False,,0,,,,52.1,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Double sommet,63232166,63232166,11155000000.0,11155000000.0,,100.0,362618915,$363M,1.87,52.1,51,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ETHUSDT,ETH,Etabli,2,2689.39,446664526.678475,-1.085,63.41669313670698,3.6410890996146463,2373.0824000000002,2098.634249999999,0.4574516433124825,0.05616149627568141,0.03119022833451606,0.170913544033668,0.8815083134942727,1745.6452777777781,2609.2675,uptrend,1,0,haussier,365,0,0,30,,,45.0,73.0,92.0,78.5,60.8,52.0,70.28,-0.3,≈ Neutre vs BTC,False,False,,0,,,,52.0,4,⚠️ Surveiller,Volume ×0.2 (épuisement)|Près du plus haut 90j (résistance),328263034697,328263034697,122081755.2385784,122081755.2385784,,100.0,,,,52.0,69,ml_gb+alt_blend,Altseason en formation,83.0,64.3
WBTCUSDT,WBTC,Speculative,,84178.52,4385957.135124,-0.534,64.42963535536933,293.5040064642485,75699.0204,70939.47179999997,0.42640988069898716,0.06885284093360361,0.02831992109118997,0.8690962348345111,0.999685712423446,61958.44666666667,81732.58694444444,,0,0,neutre,365,0,0,30,,,17.0,82.0,86.0,68.0,50,52.0,63.64,-0.3,≈ Neutre vs BTC,False,False,,0,,,,52.0,2,,Près du plus haut 90j (résistance),,,,,,,9787448644,$9.8B,3.37,52.0,68,ml_gb+alt_blend,Altseason en formation,83.0,64.3
WBETHUSDT,WBETH,Speculative,,2975.88,682589.577336,-1.134,63.597391654192705,3.993335324412314,2621.4469999999997,2306.5224999999987,0.45310918668266764,0.05649279506796397,0.030591624947851375,0.24928770334783668,0.8771769502056175,1921.586388888889,2884.906388888889,uptrend|hammer_4h|evening_star_4h,2,1,haussier,365,0,0,30,,,17.0,73.0,92.0,57.5,57.4,52.0,61.39,-0.3,≈ Neutre vs BTC,False,False,,0,,,,52.0,6,⚠️ Surveiller,Volume ×0.2 (épuisement)|Près du plus haut 90j (résistance)|Étoile du soir 4h,,,,,,,,,,52.0,68,ml_gb+alt_blend,Altseason en formation,83.0,64.3
DOTUSDT,DOT,Etabli,51,1.231,16363748.91074,2.926,64.1343943683151,0.0075049147303555,0.9484999999999998,1.0724199999999997,1.048278794441687,0.2415730337078652,0.011235955056179785,1.008189703998749,0.4740105316662809,0.7712499999999998,1.1206666666666665,rsi_bearish_divergence|uptrend,1,1,mixte,365,0,0,30,,,45.0,75.0,79.0,78.5,47.0,52.0,67.05,-0.3,≈ Neutre vs BTC,False,False,,0,,,,52.0,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,2099988552,2099991801,1704546769.949071,1704561875.987515,2100000000.0,100.0,2932656,$3M,10.33,52.0,64,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ZECUSDT,ZEC,Etabli,9,1541.43,225380447.95583,-3.694,64.7033624123049,1.5004402030074004,965.5079999999999,561.2398000000002,1.4723786553409755,0.197777544081046,0.053495291555473785,0.1935620779156073,0.5476274710603554,450.70000000000005,1376.5519444444444,uptrend,1,0,haussier,365,0,0,30,,,45.0,73.0,79.0,78.5,60.8,51.9,67.14,-0.4,≈ Neutre vs BTC,False,False,,0,,,,51.9,2,,Volume ×0.2 (épuisement),26278570275,26280316626,16952175.1655448,16953448.6030448,21000000.0,100.0,,,,51.9,67,ml_gb+alt_blend,Altseason en formation,83.0,64.3
ETHFIUSDT,ETHFI,Etabli,96,0.726,6019977.39904,1.709,60.636248988181606,-0.00019609248668123191,0.577724,0.45791000000000004,1.082340155816975,0.22933794893985285,0.03485433018491419,0.4051027318702514,0.46132978079953085,0.3651666666666667,0.6824083333333332,macd_bearish_cross,0,1,baissier,365,0,0,30,,,45.0,73.0,79.0,78.5,36.8,51.9,65.7,-0.4,≈ Neutre vs BTC,False,False,,0,,,,51.9,7,🔴 Sortie,Volume ×0.4 (épuisement)|Près du plus haut 90j (résistance)|MACD cross baissier,699689418,699689418,965350000.0,965350000.0,1000000000.0,100.0,5179106192,$5.2B,4.43,51.9,61,ml_gb+alt_blend,Altseason en formation,83.0,64.3
1INCHUSDT,1INCH,Mid,232,0.1033,593335.42481,0.486,62.90577363668403,0.0007599691778294006,0.090794,0.08679849999999996,0.5982246529704925,0.10450819672131148,0.007684918347742509,0.4644104046833748,0.7396897067783367,0.07112777777777776,0.09724722222222222,uptrend,1,0,haussier,365,0,0,30,,,31.0,73.0,92.0,57.5,60.8,51.8,65.1,-0.5,≈ Neutre vs BTC,False,False,,0,,,,51.8,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),145150404,154901564,1405573965.7275033,1499999999.997,1500000000.0,93.7,3464669,$3M,3.19,51.8,69,ml_gb+alt_blend,Altseason en formation,83.0,64.3
INJUSDT,INJ,Etabli,91,7.805,17365836.21128,-5.611,65.76493765886826,0.1253508007787396,5.594219999999999,4.660740000000001,1.2635207394801051,0.2367240089753179,0.04678148283864653,0.8365762730067479,0.5260612066754488,4.397138888888889,6.913805555555556,uptrend,1,0,haussier,365,0,0,30,,,45.0,73.0,79.0,78.5,60.8,51.8,67.14,-0.5,≈ Neutre vs BTC,False,False,,0,,,,51.8,2,,Près du plus haut 90j (résistance),780666805,780666805,100000000.0,100000000.0,,100.0,5191875,$5M,1.22,51.8,64,ml_gb+alt_blend,Altseason en formation,83.0,64.3
STXUSDT,STX,Etabli,99,0.3409,3493534.47007,3.901,68.10435563742233,0.002728770627212048,0.23306800000000005,0.21259199999999998,1.0194683458300517,0.30915371329879104,0.0,1.3354964656385853,0.5475086519054279,0.12748888888888887,0.2979305555555556,rsi_bearish_divergence|uptrend,1,1,mixte,365,0,0,30,,,45.0,82.0,67.0,68.0,47.0,51.8,65.89,-0.5,≈ Neutre vs BTC,False,False,,0,,,,51.8,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,640931704,640931704,1869465373.906829,1869484493.906829,,100.0,,,,51.8,62,ml_gb+alt_blend,Altseason en formation,83.0,64.3
LPTUSDT,LPT,Mid,318,1.765,1437408.89072,5.942,68.38839001131659,0.026773601680682824,1.4002800000000002,1.7737600000000007,0.8590250195186737,0.2793398533007334,0.0,1.6570942306593075,0.7186010776031173,1.230138888888889,1.6478888888888887,rsi_bearish_divergence|resistance_test,0,2,baissier,365,0,0,30,,,31.0,75.0,69.5,68.0,24.0,51.8,59.03,-0.5,≈ Neutre vs BTC,False,False,,0,,,,51.8,4,⚠️ Surveiller,Près du plus haut 90j (résistance)|Divergence RSI baissière,87820723,87820723,49688954.55,49688954.55,,100.0,,,,51.8,54,ml_gb+alt_blend,Altseason en formation,83.0,64.3
