symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
POLYXUSDT,POLYX,Mid,425,0.0487,863282.4317,1.247,49.355905176341,-0.00035379647604603253,0.048457999999999994,0.056241500000000035,0.5021060983314832,0.18215613382899634,0.09981515711645104,1.773674015329076,0.5319134974899684,0.0405,0.052577777777777765,downtrend,0,1,baissier,365,0,0,30,,,31.0,84.0,100.0,57.5,32.5,76.27,False,False,,0,,,,67,62210414,62210414,1272716856.507786,1272716856.507786,,100.0,,,
ALGOUSDT,ALGO,Etabli,65,0.1197,6177186.8206,4.359,61.64784256013888,0.0001721693794461544,0.10396000000000001,0.12107150000000003,0.6723651026568433,0.18555667001003012,0.030032467532467605,1.0091201981871472,0.6600035737231049,0.08341388888888888,0.11666666666666667,macd_bullish_cross|double_bottom_90d|doji_4h,2,0,haussier,365,0,0,30,,,45.0,75.0,89.5,78.5,67.2,76.13,False,False,,0,,,,71,1063136844,1063177025,8907656768.171795,8907993427.073656,10000000000.0,100.0,,,
KNCUSDT,KNC,Speculative,,0.153,1823735.59734,-2.734,55.41215145157693,0.00150821592866573,0.14075800000000002,0.20347349999999997,0.8858519185805586,0.20894607843137264,0.09226190476190484,2.5487558122899703,0.5430606405612459,0.1292944444444445,0.1590277777777778,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,84.0,89.5,68.0,59.2,75.49,False,False,,0,,,,76,,,,,,,,,
LUNAUSDT,LUNA,Mid,483,0.0716,5863752.461346,-0.417,60.74053364408745,0.0010311476251076298,0.05995400000000001,0.07932550000000002,0.864963015748331,0.21605839416058403,0.041499330655957234,1.0920462898519732,0.5529071069362821,0.054891666666666686,0.06923333333333331,uptrend,1,0,haussier,365,0,0,30,,,31.0,75.0,89.5,78.5,58.2,73.85,False,False,,0,,,,69,50613694,84598512,709984438.91686,1186707049.0,,59.8,,,
TONUSDT,TON,Etabli,22,1.797,104171105.36228,29.281,83.06531141253029,0.0398793876675885,1.3228799999999998,1.5549900000000016,0.926372284339435,0.1987991994663109,0.0,6.455391527081914,0.4932980193489057,1.2240555555555555,1.4583055555555553,breakout_30d|macd_bullish_cross|double_bottom_90d|uptrend,4,0,haussier,365,0,0,30,,,45.0,66.0,89.5,78.5,76.7,73.5,False,False,,7,🔥 Trending #4 sur CoinGecko|⚡ Volume ×6.5 vs médiane,4,6.46,74,4839447491,9280202406,2698296002.481204,5174295847.071092,,52.1,,,
TRXUSDT,TRX,Etabli,8,0.3399,38987055.03051,0.118,72.16992233305673,0.000991041212793641,0.320654,0.29720800000000014,0.1555346969571828,0.034755677907777005,0.002054593484003459,0.2308414348365657,0.3907375896352679,0.2786444444444444,0.3297694444444444,macd_bullish_cross|resistance_test,1,1,mixte,365,0,0,30,,,45.0,64.0,100.0,78.5,53.8,73.43,False,False,,0,,,,63,32188393077,32188761052,94791359269.33229,94792442916.46469,,100.0,,,
POWRUSDT,POWR,Speculative,640,0.0648,520454.1999,2.857,51.448862979581314,-0.00017400557446333375,0.064202,0.08010000000000002,0.48875479100391894,0.16997167138810196,0.08498583569405088,3.5495852710611944,0.8148540197900757,0.06056111111111113,0.06898055555555554,double_bottom_90d|downtrend,1,1,mixte,365,0,0,30,,,17.0,84.0,92.0,57.5,40.5,73.37,False,False,,2,⚡ Volume ×3.5 vs médiane,,3.55,75,34253936,64627185,529761884.726046,999506122.99937,1000000000.0,53.0,,,
ZILUSDT,ZIL,Mid,341,0.00424,790288.278898,1.923,59.954125374549676,1.170351677064769e-05,0.0039873999999999995,0.00507875,0.48086020395744167,0.20779220779220778,0.08441558441558436,1.0285021366400395,0.7873623513906508,0.003805833333333333,0.004539166666666667,macd_bullish_cross,1,0,haussier,365,0,0,30,,,31.0,75.0,92.0,57.5,59.2,73.05,False,False,,0,,,,69,82620450,86546015,19513551525.0,20440703337.72609,21000000000.0,95.5,,,
PEOPLEUSDT,PEOPLE,Speculative,534,0.00854,1926364.34327,6.351,65.09219519967522,3.8057557721521505e-05,0.007128799999999998,0.008794049999999998,0.9656175759907694,0.2072538860103628,0.020547945205479406,1.5454631223505053,0.6979473627647611,0.006244444444444443,0.0079675,macd_bullish_cross|double_bottom_90d,2,0,haussier,365,0,0,30,,,17.0,75.0,89.5,68.0,67.2,72.7,False,False,,0,,,,68,43563666,43563666,5066444892.014003,5066444892.014003,,100.0,,,
SKYUSDT,SKY,Etabli,46,0.08022,1699022.4166,-0.236,50.430640247343526,-0.0007031549582791467,0.0770798,0.06492315,0.5098770660051003,0.14271665642286427,0.10214573088958437,0.3273188251429858,0.7112872025433947,0.06414472222222221,0.08318500000000001,uptrend,1,0,haussier,231,0,0,30,,,41.3,73.0,87.5,68.0,58.2,72.54,False,False,,0,,,,68,1866428343,1886412573,23214106962.123238,23462665147.36596,23462665147.3,98.9,,,
