symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
DEXEUSDT,DEXE,Etabli,64,22.984,11178298.14666,-0.122,61.789877315297204,0.33955155716393914,16.339859999999998,8.121735,2.022898086041161,0.35214070816940524,0.014915777292014872,0.5344884835823407,0.08694936945033424,8.324944444444446,20.09888888888889,macd_bullish_cross,1,0,haussier,365,0,0,30,,,45.0,82.0,50.5,78.5,50,61.99,False,False,,0,,,,63,1074179565,2217369910,46750552.58384035,96504599.33609451,,48.4,,,
XLMUSDT,XLM,Etabli,16,0.1912,11431350.6173,-0.572,45.5397243698703,-0.003091557134282076,0.18632400000000002,0.18509449999999997,1.5831571241693434,0.2962677953058869,0.2651019622931897,0.46913906268091865,0.2685754147558947,0.14965555555555557,0.22562222222222225,macd_bearish_cross|golden_cross,1,1,mixte,365,0,0,30,,,45.0,73.0,46.0,78.5,24.0,58.64,False,False,,0,,,,53,6453393574,9531066352,33855730091.07563,50001786839.91258,,67.7,,,
TRXUSDT,TRX,Etabli,8,0.3312,26781921.19396,0.424,51.38465099210395,0.002262126175266336,0.341188,0.30959850000000005,0.3079573894995618,0.16027689030883913,0.11847710330138442,0.2684743499770527,0.3049528172143142,0.31550000000000006,0.35937222222222226,,0,0,neutre,365,0,0,30,,,45.0,45.0,95.5,78.5,50,58.43,False,False,,0,,,,59,31339904091,31340328383,94840632803.41127,94841916792.42296,,100.0,,,
WLDUSDT,WLD,Etabli,45,0.5271,70627358.04546,-6.476,51.5778770588179,-0.01157820586560833,0.40294399999999997,0.4049054999999999,2.3821943286686817,0.28035659391331075,0.21818989779291953,1.0104158153516591,0.2074829136611841,0.24217500000000008,0.5762499999999999,macd_bearish_cross|shooting_star_4h,0,2,baissier,365,0,0,30,,,45.0,75.0,46.0,78.5,0,57.54,False,False,,0,,,,48,1822655900,5257802250,3466573700.70012,10000000000.0,10000000000.0,34.7,,,
DYDXUSDT,DYDX,Mid,228,0.14837,7419510.831897,10.972,57.37983599225776,0.0035561865041729987,0.14782559999999997,0.1385565,1.2571059207710442,0.4069522291355993,0.23844294749832876,1.0624777631292628,0.3005737946237595,0.0967047222222222,0.17431083333333333,macd_bullish_cross|downtrend,1,1,mixte,365,0,0,30,,,31.0,91.0,62.5,78.5,19.4,56.68,False,False,,0,,,,60,124755810,141643258,844084129.0970293,958342751.0,1000000000.0,88.1,96513103,$97M,0.39
UNIUSDT,UNI,Etabli,46,2.9,7470273.11919,1.505,47.91126820506337,0.03652711138962658,3.1405800000000004,3.946955,0.8326272529960936,0.40010015022533807,0.2756634952428644,0.23639957965544042,0.5920882160277413,2.6480000000000006,3.664027777777777,,0,0,neutre,365,0,0,30,,,45.0,37.0,73.0,78.5,50,55.72,False,False,,0,,,,53,1796700189,2583271153,621615561.5538775,893750420.0329479,1000000000.0,69.6,1429514805,$1.4B,-4.44
ALLOUSDT,ALLO,Mid,274,0.3946,7500573.67679,-1.743,60.38003493124901,-0.0054901826181702335,0.22505000000000003,0.13676000000000005,4.151683022693914,0.3757798165137615,0.09664153529814944,0.7406763923470948,-0.005634154662515939,0.08829166666666666,0.4058972222222222,uptrend,1,0,haussier,226,0,0,30,,,27.2,82.0,50.5,78.5,50,54.71,False,False,,0,,,,63,93084340,311684750,235132142.8864032,787319360.7547973,1000000000.0,29.9,,,
SYNUSDT,SYN,Mid,392,0.2718,25953720.11633,1.607,89.86762734846339,0.025154819437923158,0.068966,0.05770699999999998,3.361007283971806,0.5267558528428093,0.03810868031051509,4.328863060842225,0.06582917039783405,0.03891111111111112,0.1145111111111111,golden_cross,1,0,haussier,365,0,0,30,,,31.0,73.0,41.5,78.5,53.1,54.39,False,False,,2,⚡ Volume ×4.3 vs médiane,,4.33,55,59469156,67866548,219066529.0,250000000.0,250000000.0,87.6,11437284,$11M,-0.71
LINKUSDT,LINK,Etabli,20,7.597,14798674.73596,0.649,35.57351744930615,0.015274372110518686,8.894920000000003,10.042629999999996,0.5779945826968822,0.3128731343283583,0.29104477611940305,0.289015587660785,0.8191308906788096,7.793583333333335,10.078527777777776,,0,0,neutre,365,0,0,30,,,45.0,28.0,75.5,78.5,50,54.35,False,False,,0,,,,47,5671015758,7580558725,748099970.4250377,1000000000.0,1000000000.0,74.8,,,
NEARUSDT,NEAR,Etabli,38,1.958,22644158.5695,-1.904,43.701601033019415,-0.03864400706384719,2.0398,1.5373700000000006,1.3727326138608409,0.3400780972665957,0.3045793397231097,0.23213699380833433,0.26466499062427273,1.2339166666666663,2.4715833333333337,,0,0,neutre,365,0,0,30,,,45.0,36.0,52.0,78.5,50,54.29,False,False,,0,,,,46,2536237345,2536237362,1299056164.0,1299056173.0,,100.0,,,
