symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
GNOUSDT,GNO,Mid,135,118.16,139796.10633,0.425,54.53879363178636,-0.5909884540381327,111.63859999999995,116.63805000000002,0.5042776236979658,0.11943493150684935,0.0588610115491836,0.6032980720828633,0.597150190978351,101.61861111111112,124.67611111111108,,0,0,neutre,365,0,0,30,,,31.0,66.0,100.0,47.0,50,66,41.76,12,🟢 Surperforme BTC,False,False,,0,,,,66,1,,,311970917,354567605,2639589.0,3000000.0,3000000.0,88.0,,,
CATIUSDT,CATI,Speculative,616,0.05045,3336974.411024,-5.982,49.31219887691571,-0.0003512985596419763,0.0452476,0.04869350000000001,1.297033668052432,0.4806299212598425,0.22320185614849186,3.688236572822414,0.1021931476079443,0.037018888888888886,0.06186194444444445,macd_bearish_cross|uptrend,1,1,mixte,365,0,0,30,,,17.0,84.0,56.5,68.0,40.8,66,32.92,12,🟢 Surperforme BTC,False,False,,0,,,,66,3,,MACD cross baissier,34049974,50121197,679352770.0699999,1000000000.0,1000000000.0,67.9,,,
FIDAUSDT,FIDA,Speculative,857,0.0198,787993.991017,2.009,57.59552394214793,8.411603556916439e-05,0.018623999999999998,0.019326200000000012,0.5747466328755,0.32626100880704556,0.2069655724579663,1.4210271966218284,0.5358158165328929,0.017331666666666665,0.023690000000000003,,0,0,neutre,365,0,0,30,,,17.0,75.0,83.5,57.5,50,66,33.17,12,🟢 Surperforme BTC,False,False,,0,,,,66,0,,,19585890,19585890,990910605.201965,990910605.201965,1000000000.0,100.0,,,
RPLUSDT,RPL,Speculative,544,1.74,301540.2108,3.387,61.722788098108786,0.01165993334568977,1.5886199999999997,1.7119549999999992,0.6957569318609235,0.3846153846153846,0.21266968325791855,1.5940833783715076,0.3071257297052068,1.327777777777777,1.8934999999999995,rsi_bearish_divergence|squeeze_breakout|uptrend,2,1,haussier,365,0,0,30,,,17.0,84.0,73.0,47.0,45.3,66,32.5,12,🟢 Surperforme BTC,False,False,,0,,,,66,2,,Divergence RSI baissière,39646755,39646755,22789554.10722051,22789554.10722051,,100.0,1308620409,$1.3B,0.93
USTCUSDT,USTC,Speculative,651,0.00541,228122.08355,0.0,55.559870799876535,1.0231264143025436e-05,0.005155200000000001,0.0054969000000000025,0.531208454282861,0.23885350318471332,0.1401273885350318,0.42594166696347996,0.5758355345794053,0.004916944444444445,0.006045555555555556,macd_bullish_cross|bull_flag|uptrend,3,0,haussier,365,0,0,30,,,17.0,57.0,95.5,47.0,66.3,66,31.87,12,🟢 Surperforme BTC,False,False,,0,,,,66,2,,Volume ×0.4 (épuisement),30081560,32800032,5573028582.220068,6076663517.728556,,91.7,,,
MANTAUSDT,MANTA,Speculative,656,0.06225,221729.657215,2.2,59.09720345137318,0.00042412555355136693,0.059228599999999965,0.06724160000000003,0.4686281903103522,0.3608745684695052,0.2831990794016111,0.28336934045080575,0.2571260344427703,0.056476666666666654,0.08444361111111111,macd_bullish_cross|double_bottom_90d|uptrend|bullish_engulfing_4h,4,0,haussier,365,0,0,30,,,17.0,57.0,77.5,47.0,77.1,66,31.43,12,🟢 Surperforme BTC,False,False,,0,,,,66,2,,Volume ×0.3 (épuisement),29856580,62170944,480233661.1130715,1000000000.0,1000000000.0,48.0,26125228,$26M,1.19
NEARUSDT,NEAR,Etabli,33,2.397,70076867.0127,6.628,74.76011337258662,0.04733235892169134,1.7973999999999999,1.675435,0.8373696294485189,0.3366750208855472,0.0,1.4265803606290417,0.5617043817893785,1.6289166666666668,2.198,uptrend,1,0,haussier,365,0,0,30,,,45.0,82.0,77.5,78.5,55.2,65,54.68,11,🟢 Surperforme BTC,False,False,,0,🔥 Trending #15 sur CoinGecko,15,,65,4,⚠️ Surveiller,RSI 75 (surachat)|Près du plus haut 90j (résistance),3114797940,3114797971,1305587203.0,1305587201.0,,100.0,127888285,$128M,11.84
SKYUSDT,SKY,Etabli,52,0.0719,1099646.59691,7.281,63.03512988193845,4.739247556212467e-05,0.0606846,0.06684029999999999,0.6964846951517415,0.19955898566703428,0.019658703071672314,0.4520441045794281,0.5360280295733623,0.052082500000000004,0.06818777777777778,uptrend|bullish_engulfing_4h,2,0,haussier,355,0,0,30,,,44.7,57.0,89.5,68.0,63.5,65,51.87,11,🟢 Surperforme BTC,False,False,,0,,,,65,4,⚠️ Surveiller,Volume ×0.5 (épuisement)|Près du plus haut 90j (résistance),1684454343,1687282651,23423335850.535244,23462665147.36596,23462665147.3,99.8,5560681868,$5.6B,0.65
RAYUSDT,RAY,Mid,136,1.1528,14582875.65997,38.491,85.94726262393729,0.02429993009757181,0.6960140000000001,0.6726749999999998,0.9810393112712557,0.1866883116883117,0.0,13.394888933196633,0.542636819911952,0.5895111111111112,0.8098444444444443,breakout_30d|uptrend,2,0,haussier,365,0,0,30,,,31.0,73.0,89.5,78.5,55.2,65,44.8,11,🟢 Surperforme BTC,False,False,,3,🔥 Trending #14 sur CoinGecko|⚡ Volume ×13.4 vs médiane,14,13.39,65,6,⚠️ Surveiller,RSI 86 (surachat extrême)|Près du plus haut 90j (résistance),309686071,637666201,269538779.59716,555000000.0,555000000.0,48.6,1120424821,$1.1B,-1.37
PENGUUSDT,PENGU,Mid,102,0.008811,10842717.020042,2.752,58.31149710755614,-0.00012202161413837963,0.007132459999999999,0.007328745,1.1785654156285594,0.19372461129009672,0.11003334343740524,0.7971508457024976,0.7196459975163928,0.005882611111111111,0.008838638888888892,double_bottom_90d|uptrend,2,0,haussier,365,0,0,30,,,31.0,66.0,66.5,78.5,62.9,65,43.05,11,🟢 Surperforme BTC,False,False,,1,🔥 Trending #7 sur CoinGecko,7,,65,1,,,553426500,675472273,62860396090.0,76722843309.19661,88888888888.0,81.9,,,
