symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,score_quality,alpha_vs_btc,vs_btc_label,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,exit_risk,exit_label,exit_reasons,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
ACEUSDT,ACE,Speculative,878,0.1526,16067166.73568,5.314,56.11855715089687,0.005293469710046201,0.09050200000000003,0.11906499999999998,4.367413407281291,0.4759136212624584,0.4019723865877712,9.572243456808948,0.0797920616251903,0.06894166666666668,0.14348333333333335,uptrend,1,0,haussier,365,0,0,30,,,17.0,84.0,41.5,78.5,50,76,33.41,29,🟢 Surperforme BTC,False,False,,7,🔥 Trending #4 sur CoinGecko|⚡ Volume ×9.6 vs médiane,4,9.57,76,0,,,16319133,22186908,107613807.0,146307870.0,147000000.0,73.6,,,
PLUMEUSDT,PLUME,Mid,287,0.01261,81976644.75455,-2.02,57.91006888494174,8.211814331109796e-05,0.011098800000000004,0.011362100000000002,0.9533686501472354,0.3718459495351926,0.1626826029216468,16.309833809419736,0.37146229173372297,0.009821944444444444,0.013575555555555556,uptrend,1,0,haussier,365,0,0,30,,,31.0,84.0,73.0,78.5,50,75,44.82,28,🟢 Surperforme BTC,False,False,,3,⚡ Volume ×16.3 vs médiane,,16.31,75,0,,,77931241,126063372,6181909938.0,10000000000.0,10000000000.0,61.8,,,
TRXUSDT,TRX,Etabli,8,0.3328,15688774.78115,0.483,56.68506980244348,0.00019804736260100393,0.32784599999999997,0.3193165,0.12228330218993677,0.16054313099041526,0.11395101171459,0.1812895090971224,0.5435164255984042,0.31880833333333336,0.35291388888888897,,0,0,neutre,365,0,0,30,,,45.0,73.0,95.5,78.5,50,67,54.37,20,🟢 Surperforme BTC,False,False,,0,,,,67,2,,Volume ×0.2 (épuisement),31576953400,31577900456,94904800477.78549,94907652291.49608,,100.0,,,
HEMIUSDT,HEMI,Speculative,,0.00613,19942626.491939,-27.712,59.581685755787866,0.00014904392341316333,0.0048905999999999976,0.00705585,2.3193401510486162,0.4479166666666667,0.20312500000000008,2.585268438948795,0.2824795384136536,0.004377777777777777,0.007189722222222222,uptrend,1,0,haussier,329,0,0,30,,,16.0,84.0,46.0,78.5,50,67,33.01,20,🟢 Surperforme BTC,False,False,,0,,,,67,0,,,,,,,,,33487592,$33M,-1.21
MORPHOUSDT,MORPHO,Etabli,50,2.059,1260685.69957,4.677,60.00185694688676,0.01305167103289079,1.9864,1.8205049999999992,0.4903577313490273,0.2668151447661471,0.08396268325188808,0.3140964627914402,0.36732340361459953,1.7566388888888886,2.165694444444445,double_bottom_90d,1,0,haussier,319,0,0,30,,,43.7,73.0,88.0,68.0,50,66,52.22,19,🟢 Surperforme BTC,False,False,,0,,,,66,2,,Volume ×0.3 (épuisement),1359938734,2071537708,656487559.5857334,1000000000.0,1000000000.0,65.6,8039172680,$8.0B,1.16
AWEUSDT,AWE,Mid,222,0.05952,485964.68723,-7.448,52.02521198159138,0.0004130142214456056,0.05801320000000001,0.05688270000000001,0.4449404534264829,0.24041297935103248,0.1225663716814159,0.3062523197047256,0.1131891453148044,0.051380277777777775,0.06339555555555555,double_bottom_90d,1,0,haussier,365,0,0,30,,,31.0,73.0,89.5,47.0,50,66,41.97,19,🟢 Surperforme BTC,False,False,,0,,,,66,2,,Volume ×0.3 (épuisement),115467474,118890310,1942420283.0270672,1942420283.0270672,2000000000.0,100.0,,,
XAIUSDT,XAI,Speculative,935,0.00693,3941469.876069,-3.883,53.14055543879912,8.38034539835369e-05,0.006796599999999998,0.009113749999999999,0.8621349273740596,0.43428571428571433,0.34,1.9680989362870593,0.4438786674041318,0.006301388888888888,0.009795555555555554,uptrend,1,0,haussier,365,0,0,30,,,17.0,84.0,68.5,68.0,50,66,34.19,19,🟢 Surperforme BTC,False,False,,0,,,,66,0,,,14503090,15312582,2097617649.953205,2214696416.241441,2500000000.0,94.7,,,
DIAUSDT,DIA,Speculative,857,0.1418,1339839.69325,10.264,65.94078110395589,0.0013068804654171734,0.11242999999999997,0.16042550000000005,1.456643114304285,0.4654800431499461,0.23247033441208198,4.139453036304463,0.3619341844138483,0.10123055555555555,0.16950833333333334,,0,0,neutre,365,0,0,30,,,17.0,75.0,62.5,68.0,50,66,32.75,19,🟢 Surperforme BTC,False,False,,2,⚡ Volume ×4.1 vs médiane,,4.14,66,0,,,17066562,24074397,119676104.0,168817248.0,200000000.0,70.9,,,
GUSDT,G,Speculative,650,0.00375,463283.89028,0.267,62.22656717744882,1.2844170063621227e-05,0.0034558,0.0035511499999999977,0.4918018587803467,0.2841530054644809,0.025906735751295405,1.0636570888053245,0.22754275507903943,0.002715277777777777,0.003791944444444444,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,75.0,82.0,47.0,50,66,32.24,19,🟢 Surperforme BTC,False,False,,0,,,,66,2,,Près du plus haut 90j (résistance),27206304,45138835,7232700000.0,12000000000.0,12000000000.0,60.3,23523163,$24M,5.36
ZECUSDT,ZEC,Etabli,14,514.12,46344371.32062,5.402,56.52009348384262,0.4677193967440433,492.4534,394.5806,0.5354173534888524,0.46200671081153305,0.23685304510496774,0.4025517454170308,0.49167778922586525,402.77500000000003,599.2674999999998,macd_bullish_cross,1,0,haussier,365,0,0,30,,,45.0,73.0,83.5,78.5,50,65,53.65,18,🟢 Surperforme BTC,False,False,,0,🔥 Trending #11 sur CoinGecko,11,,65,2,,Volume ×0.4 (épuisement),8669012414,8670207322,16879123.6030448,16881451.7280448,21000000.0,100.0,,,
ETHUSDT,ETH,Etabli,2,1902.76,233987373.239812,1.149,54.86242864877695,-4.015484525782732,1844.4827999999993,2009.2859500000006,0.3033827592780947,0.26522195560887835,0.10825959808038402,0.2942498007373815,0.8837104163658789,1613.9461111111111,2034.615,double_bottom_90d,1,0,haussier,365,0,0,30,,,45.0,57.0,75.5,78.5,50,64,51.25,17,🟢 Surperforme BTC,False,False,,3,🔥 Trending #5 sur CoinGecko,5,,64,3,,Volume ×0.3 (épuisement),229264019645,229264019645,120681932.36478634,120681932.3647863,,100.0,,,
TKOUSDT,TKO,Speculative,,0.0512,149840.40411,-0.775,60.69067514503473,0.00010681949356750693,0.047223999999999995,0.05438350000000004,0.3853932206424443,0.2097649186256781,0.07233273056057872,0.20636960701456475,0.6224030440812774,0.04446944444444443,0.053630555555555556,bull_flag|doji_4h,1,0,haussier,365,0,0,30,,,17.0,57.0,100.0,47.0,52.0,64,31.28,17,🟢 Surperforme BTC,False,False,,0,,,,64,2,,Volume ×0.2 (épuisement),,,,,,,,,
CAKEUSDT,CAKE,Etabli,90,1.464,1345309.33187,2.235,60.01495290321522,0.001326003340657824,1.4101,1.4111099999999996,0.29407504162933173,0.22414943295530357,0.023348899266177545,0.16494289913892246,0.6249761880141218,1.285527777777778,1.4658055555555554,,0,0,neutre,365,0,0,30,,,45.0,57.0,100.0,68.0,50,63,51.88,16,🟢 Surperforme BTC,False,False,,0,,,,63,4,⚠️ Surveiller,Volume ×0.2 (épuisement)|Près du plus haut 90j (résistance),556982102,574934112,381420886.06598073,393714407.4732338,400000000.0,96.9,1721187521,$1.7B,-1.94
