symbol,base,tier,rank_mcap,price,vol_24h_usd,change_24h_pct,rsi_14,macd_hist,ma_50,ma_200,vol_30d_ann,drawdown_90d,dist_to_high_90d,vol_ratio_vs_med90,corr_btc_90d,support_90d,resistance_90d,patterns,bull_signals,bear_signals,bias,age_days,n_red_flags,audit_score,team_score,github_commits_30d,github_contrib_90d,score_solidity,score_momentum,score_risk,score_antiscam,score_signal,score,suspect,stablecoin,categories,catalyst_score,catalyst_flags,trending_rank,vol_spike_ratio,bull_prob_7d,market_cap,fdv,circulating_supply,total_supply,max_supply,circ_ratio_pct,tvl,tvl_fmt,tvl_change_7d
BNSOLUSDT,BNSOL,Speculative,,98.8,1249094.7955,5.106,60.4504645896039,0.2934124028730355,94.154,126.46050000000002,0.5065876408047703,0.17813383600376995,0.07163053722902916,1.500784602037359,0.893800322761891,87.59166666666668,100.46944444444445,macd_bullish_cross|double_bottom_90d|uptrend,3,0,haussier,365,0,0,30,,,17.0,84.0,92.0,68.0,75.4,78.05,False,False,,0,,,,76,,,,,,,,,
ICPUSDT,ICP,Etabli,53,2.854,29254307.19888,17.934,73.2128191634524,0.03266477985857666,2.4211199999999997,3.1685450000000004,0.6989893439429885,0.20699603317706464,0.0,1.9104667035421812,0.6130154831796147,2.20625,2.6594999999999995,breakout_30d|macd_bullish_cross|uptrend|bullish_engulfing_4h,4,0,haussier,365,0,0,30,,,45.0,75.0,89.5,78.5,76.2,77.12,False,False,,0,,,,70,1584224387,1584224399,552073886.010722,552073890.0215709,,100.0,,,
ZILUSDT,ZIL,Mid,331,0.00445,1997072.896825,4.953,67.64544966047131,3.113595736524343e-05,0.003989999999999999,0.00506095,0.5066703145269791,0.20779220779220778,0.0367965367965368,2.9842075684386145,0.6766135286347715,0.003805833333333333,0.0044975,breakout_30d|macd_bullish_cross,2,0,haussier,365,0,0,30,,,31.0,75.0,100.0,68.0,60.5,76.51,False,False,,0,,,,72,87331200,91485420,19513551525.0,20441783300.5576,21000000000.0,95.5,,,
PUNDIXUSDT,PUNDIX,Speculative,562,0.1599,1486906.39599,4.852,64.03254737981585,0.000835379994640093,0.14791399999999993,0.20837400000000014,0.4636488884757278,0.22549575070821531,0.09688385269121816,2.997941633571856,0.7207944998993094,0.14264722222222226,0.16846388888888889,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,84.0,92.0,68.0,59.2,76.27,False,False,,0,,,,76,41231169,41231169,258386541.0999244,258386541.0999244,,100.0,,,
SUSDT,S,Mid,192,0.04949,4294203.342319,9.758,64.80741400213662,0.00022632871544357063,0.043323600000000004,0.07558550000000004,0.8215342558334484,0.23527077960722081,0.018448720491965883,1.523797997129158,0.609228111298573,0.03934972222222222,0.04833472222222224,breakout_30d|macd_bullish_cross|double_top_90d|uptrend,3,1,haussier,365,0,0,30,,,31.0,84.0,89.5,68.0,50.7,75.86,False,False,,0,,,,70,187431159,192419145,3784775845.0,3885497663.0,,97.4,,,
PAXGUSDT,PAXG,Etabli,40,4689.09,26940286.088667,3.079,51.89106361608566,-2.1070461806512455,4648.461800000001,4589.117549999999,0.25911557627257253,0.18851456373184697,0.13787122110936362,0.38632178162674796,0.3791744742641674,4505.915277777777,5221.053055555554,,0,0,neutre,365,0,0,30,,,45.0,73.0,95.5,78.5,50,75.29,False,False,,0,,,,67,2245957386,2245957386,479162.743,479162.743,,100.0,,,
LPTUSDT,LPT,Mid,272,2.259,2277841.23096,4.632,60.883613528776074,0.011141132025847291,2.126959999999999,3.0927299999999978,0.5816769959937614,0.20382165605095542,0.10111464968152867,2.891855287100679,0.7421853611642416,2.0391111111111107,2.470222222222223,macd_bullish_cross|double_top_90d|uptrend,2,1,haussier,365,0,0,30,,,31.0,84.0,87.5,68.0,49.4,75.1,False,False,,0,,,,73,112035298,112035298,49688954.55,49688954.55,,100.0,,,
SKYUSDT,SKY,Etabli,46,0.07978,1738030.25643,-1.189,49.35728056356028,-0.0007584658561327496,0.07718180000000001,0.0650225,0.49162388593281714,0.14271665642286427,0.10795708538220833,0.37653258015128227,0.6831417860272926,0.06466388888888888,0.08321166666666667,uptrend,1,0,haussier,232,0,0,30,,,41.4,73.0,95.5,68.0,58.2,75.02,False,False,,0,,,,69,1852421130,1872297217,23213588248.78877,23462665147.36596,23462665147.3,98.9,,,
ARKMUSDT,ARKM,Mid,352,0.1319,8015834.09566,9.461,63.06799155056497,0.0004455186106873993,0.10930999999999999,0.18072250000000004,0.9847056049884225,0.2713178294573644,0.01423220973782781,3.225626997822957,0.6014429670767544,0.09672222222222228,0.12837500000000002,macd_bullish_cross|uptrend,2,0,haussier,365,0,0,30,,,31.0,84.0,77.5,78.5,67.4,74.82,False,False,,0,,,,76,82166978,131939977,622760291.0,1000000000.0,1000000000.0,62.3,,,
DIAUSDT,DIA,Speculative,806,0.2109,902400.48844,9.958,64.82966643135791,0.001069767784932697,0.18386999999999992,0.27374249999999967,0.7475258294224957,0.2341417910447761,0.010727611940298492,4.369077324943355,0.5411240111510484,0.1720722222222222,0.20515833333333333,macd_bullish_cross,1,0,haussier,365,0,0,30,,,17.0,84.0,89.5,57.5,59.2,74.65,False,False,,2,⚡ Volume ×4.4 vs médiane,,4.37,79,25289263,35673485,119676104.0,168817248.0,200000000.0,70.9,,,
